part,seed,run,press_ms,fold_ms
bracket,11,1,40.00,96.40
bracket,11,2,40.20,96.00
bracket,12,1,39.80,95.20
bracket,12,2,40.10,96.60
bracket,13,1,40.00,95.80
bracket,13,2,33.50,96.10
flange,11,1,50.00,95.20
flange,11,2,50.40,95.00
flange,12,1,49.60,94.60
flange,12,2,50.20,95.60
flange,13,1,50.00,94.90
flange,13,2,44.10,95.30
gasket,11,1,60.00,61.30
gasket,11,2,60.30,61.40
gasket,12,1,59.70,60.90
gasket,12,2,60.10,61.20
gasket,13,1,60.00,61.10
gasket,13,2,55.20,61.50
spindle,11,1,70.00,68.50
spindle,11,2,70.40,68.90
spindle,12,1,69.60,68.20
spindle,12,2,70.20,68.70
spindle,13,1,70.00,68.60
spindle,13,2,64.30,68.80
