timestamp,tag_id
0.366,tag5286
0.037,tag6477
0.091,tag5295
0.947,tag6471
0.577,tag6467
0.557,tag5282
0.541,tag2473
0.103,tag6475
0.097,tag5303
0.619,tag6467
0.777,tag6491
0.300,tag2487
0.082,tag6479
0.729,tag2485
0.512,tag5287
0.933,tag2473
0.765,tag6468
0.695,tag2485
0.069,tag6493
0.697,tag2494
0.647,tag6483
0.717,tag7314
0.941,tag2465
0.494,tag6471
0.738,tag2472
0.166,tag2469
0.819,tag2472
0.986,tag2490
0.151,tag2478
0.012,tag5294
0.282,tag5296
0.610,tag6487
0.457,tag5283
0.398,tag6489
0.062,tag2489
0.162,tag5308
0.000,tag5286
0.614,tag5303
0.149,tag5304
0.474,tag2487
1.480,tag2493
1.750,tag5286
1.516,tag2474
1.147,tag6487
1.979,tag5299
1.518,tag6480
1.533,tag5838
1.613,tag2478
1.818,tag5295
1.518,tag5292
1.790,tag5281
1.447,tag5302
1.081,tag5719
1.338,tag2476
1.479,tag6464
1.835,tag6469
1.478,tag2476
1.087,tag6485
1.463,tag11833
1.170,tag5290
1.807,tag5309
1.657,tag6494
1.021,tag6472
1.527,tag6470
1.826,tag7116
1.293,tag2477
1.259,tag6484
1.910,tag5283
1.827,tag2490
1.524,tag5289
1.609,tag2475
1.142,tag5291
1.326,tag5283
1.784,tag6494
1.248,tag6467
1.562,tag5308
1.326,tag5308
1.693,tag9932
1.508,tag6494
1.923,tag6480
2.137,tag5308
2.073,tag2484
2.669,tag5293
2.143,tag5303
2.747,tag2478
2.990,tag2474
2.994,tag5307
2.357,tag2476
2.338,tag2465
2.384,tag6465
2.113,tag2468
2.084,tag3750
2.756,tag5297
2.406,tag6480
2.700,tag6495
2.425,tag5291
2.802,tag5285
2.264,tag5284
2.994,tag5301
2.043,tag2472
2.262,tag5290
2.531,tag2483
2.271,tag2475
2.015,tag2466
2.514,tag6476
2.658,tag2470
2.546,tag6495
2.688,tag6483
2.832,tag5612
2.405,tag6472
2.014,tag5288
2.163,tag2491
2.599,tag2482
2.185,tag5309
2.364,tag5296
2.244,tag6484
2.357,tag5069
2.475,tag2469
2.505,tag5295
2.144,tag2469
3.300,tag2465
3.658,tag5289
3.764,tag6488
3.284,tag2473
3.825,tag5282
3.734,tag6491
3.826,tag5281
3.085,tag6478
3.960,tag6487
3.628,tag2467
3.489,tag6479
3.659,tag5285
3.252,tag6494
3.729,tag2479
3.494,tag6493
3.767,tag2482
3.077,tag6476
3.621,tag2483
3.486,tag2467
3.676,tag1613
3.465,tag6482
3.312,tag5292
3.290,tag2465
3.994,tag6492
3.581,tag5284
3.953,tag6480
3.887,tag6481
3.898,tag5311
3.004,tag5290
3.302,tag2489
3.316,tag2488
3.751,tag5300
3.713,tag5292
3.372,tag4752
3.361,tag6468
3.281,tag2467
3.635,tag6482
3.511,tag2491
3.884,tag2491
3.913,tag6489
4.720,tag9005
4.451,tag6490
4.486,tag6482
4.171,tag9000
4.256,tag2483
4.406,tag6480
4.120,tag2489
4.501,tag5293
4.453,tag6478
4.140,tag2491
4.342,tag5291
4.258,tag5303
4.383,tag5306
4.270,tag5304
4.574,tag2481
4.093,tag6477
4.646,tag2489
4.127,tag2465
4.000,tag2495
4.972,tag6493
4.154,tag5294
4.941,tag6470
4.085,tag6493
4.233,tag5288
4.962,tag10579
4.699,tag6491
4.524,tag5299
4.224,tag2480
4.996,tag5299
4.475,tag2479
4.961,tag5281
4.022,tag2467
4.081,tag6490
4.227,tag2487
4.362,tag2490
4.739,tag5298
4.970,tag5311
4.465,tag5294
4.952,tag2470
4.485,tag5294
5.922,tag905
5.415,tag5289
5.450,tag5305
