tag_id,group_id
tag0,g0
tag1,g0
tag2,g0
tag3,g0
tag4,g0
tag5,g0
tag6,g0
tag7,g0
tag8,g0
tag9,g0
tag10,g0
tag11,g0
tag12,g0
tag13,g0
tag14,g0
tag15,g0
tag16,g0
tag17,g0
tag18,g0
tag19,g0
tag20,g0
tag21,g0
tag22,g0
tag23,g0
tag24,g0
tag25,g0
tag26,g0
tag27,g0
tag28,g0
tag29,g0
tag30,g0
tag31,g0
tag32,g1
tag33,g1
tag34,g1
tag35,g1
tag36,g1
tag37,g1
tag38,g1
tag39,g1
tag40,g1
tag41,g1
tag42,g1
tag43,g1
tag44,g1
tag45,g1
tag46,g1
tag47,g1
tag48,g1
tag49,g1
tag50,g1
tag51,g1
tag52,g1
tag53,g1
tag54,g1
tag55,g1
tag56,g1
tag57,g1
tag58,g1
tag59,g1
tag60,g1
tag61,g1
tag62,g1
tag63,g1
tag64,g2
tag65,g2
tag66,g2
tag67,g2
tag68,g2
tag69,g2
tag70,g2
tag71,g2
tag72,g2
tag73,g2
tag74,g2
tag75,g2
tag76,g2
tag77,g2
tag78,g2
tag79,g2
tag80,g2
tag81,g2
tag82,g2
tag83,g2
tag84,g2
tag85,g2
tag86,g2
tag87,g2
tag88,g2
tag89,g2
tag90,g2
tag91,g2
tag92,g2
tag93,g2
tag94,g2
tag95,g2
tag96,g3
tag97,g3
tag98,g3
tag99,g3
tag100,g3
tag101,g3
tag102,g3
tag103,g3
tag104,g3
tag105,g3
tag106,g3
tag107,g3
tag108,g3
tag109,g3
tag110,g3
tag111,g3
tag112,g3
tag113,g3
tag114,g3
tag115,g3
tag116,g3
tag117,g3
tag118,g3
tag119,g3
tag120,g3
tag121,g3
tag122,g3
tag123,g3
tag124,g3
tag125,g3
tag126,g3
tag127,g3
tag128,g4
tag129,g4
tag130,g4
tag131,g4
tag132,g4
tag133,g4
tag134,g4
tag135,g4
tag136,g4
tag137,g4
tag138,g4
tag139,g4
tag140,g4
tag141,g4
tag142,g4
tag143,g4
tag144,g4
tag145,g4
tag146,g4
tag147,g4
tag148,g4
tag149,g4
tag150,g4
tag151,g4
tag152,g4
tag153,g4
tag154,g4
tag155,g4
tag156,g4
tag157,g4
tag158,g4
tag159,g4
tag160,g5
tag161,g5
tag162,g5
tag163,g5
tag164,g5
tag165,g5
tag166,g5
tag167,g5
tag168,g5
tag169,g5
tag170,g5
tag171,g5
tag172,g5
tag173,g5
tag174,g5
tag175,g5
tag176,g5
tag177,g5
tag178,g5
tag179,g5
tag180,g5
tag181,g5
tag182,g5
tag183,g5
tag184,g5
tag185,g5
tag186,g5
tag187,g5
tag188,g5
tag189,g5
tag190,g5
tag191,g5
tag192,g6
tag193,g6
tag194,g6
tag195,g6
tag196,g6
tag197,g6
tag198,g6
tag199,g6
tag200,g6
tag201,g6
tag202,g6
tag203,g6
tag204,g6
tag205,g6
tag206,g6
tag207,g6
tag208,g6
tag209,g6
tag210,g6
tag211,g6
tag212,g6
tag213,g6
tag214,g6
tag215,g6
tag216,g6
tag217,g6
tag218,g6
tag219,g6
tag220,g6
tag221,g6
tag222,g6
tag223,g6
tag224,g7
tag225,g7
tag226,g7
tag227,g7
tag228,g7
tag229,g7
tag230,g7
tag231,g7
tag232,g7
tag233,g7
tag234,g7
tag235,g7
tag236,g7
tag237,g7
tag238,g7
tag239,g7
tag240,g7
tag241,g7
tag242,g7
tag243,g7
tag244,g7
tag245,g7
tag246,g7
tag247,g7
tag248,g7
tag249,g7
tag250,g7
tag251,g7
tag252,g7
tag253,g7
tag254,g7
tag255,g7
tag256,g8
tag257,g8
tag258,g8
tag259,g8
tag260,g8
tag261,g8
tag262,g8
tag263,g8
tag264,g8
tag265,g8
tag266,g8
tag267,g8
tag268,g8
tag269,g8
tag270,g8
tag271,g8
tag272,g8
tag273,g8
tag274,g8
tag275,g8
tag276,g8
tag277,g8
tag278,g8
tag279,g8
tag280,g8
tag281,g8
tag282,g8
tag283,g8
tag284,g8
tag285,g8
tag286,g8
tag287,g8
tag288,g9
tag289,g9
tag290,g9
tag291,g9
tag292,g9
tag293,g9
tag294,g9
tag295,g9
tag296,g9
tag297,g9
tag298,g9
tag299,g9
tag300,g9
tag301,g9
tag302,g9
tag303,g9
tag304,g9
tag305,g9
tag306,g9
tag307,g9
tag308,g9
tag309,g9
tag310,g9
tag311,g9
tag312,g9
tag313,g9
tag314,g9
tag315,g9
tag316,g9
tag317,g9
tag318,g9
tag319,g9
tag320,g10
tag321,g10
tag322,g10
tag323,g10
tag324,g10
tag325,g10
tag326,g10
tag327,g10
tag328,g10
tag329,g10
tag330,g10
tag331,g10
tag332,g10
tag333,g10
tag334,g10
tag335,g10
tag336,g10
tag337,g10
tag338,g10
tag339,g10
tag340,g10
tag341,g10
tag342,g10
tag343,g10
tag344,g10
tag345,g10
tag346,g10
tag347,g10
tag348,g10
tag349,g10
tag350,g10
tag351,g10
tag352,g11
tag353,g11
tag354,g11
tag355,g11
tag356,g11
tag357,g11
tag358,g11
tag359,g11
tag360,g11
tag361,g11
tag362,g11
tag363,g11
tag364,g11
tag365,g11
tag366,g11
tag367,g11
tag368,g11
tag369,g11
tag370,g11
tag371,g11
tag372,g11
tag373,g11
tag374,g11
tag375,g11
tag376,g11
tag377,g11
tag378,g11
tag379,g11
tag380,g11
tag381,g11
tag382,g11
tag383,g11
tag384,g12
tag385,g12
tag386,g12
tag387,g12
tag388,g12
tag389,g12
