timestamp,tag_id
0.305,tag8921
0.481,tag9725
0.995,tag7036
0.240,tag11158
0.012,tag48
0.078,tag639
0.025,tag3122
0.655,tag3991
0.130,tag7572
0.388,tag5288
0.727,tag8245
0.904,tag5191
0.618,tag10988
0.614,tag6383
0.966,tag6604
0.212,tag11047
0.044,tag7939
0.279,tag7235
0.807,tag8922
0.456,tag5377
0.684,tag7025
0.475,tag10418
0.132,tag2829
0.906,tag2423
0.652,tag4707
0.924,tag2116
0.933,tag1331
0.664,tag3362
0.652,tag10510
0.051,tag4614
0.996,tag6525
0.378,tag6218
0.238,tag4165
0.727,tag5859
0.662,tag9170
0.888,tag4982
0.497,tag4696
0.220,tag1063
0.296,tag1070
0.724,tag8583
1.842,tag6353
1.556,tag5511
1.488,tag11963
1.587,tag2384
1.255,tag2407
1.659,tag5592
1.967,tag6426
1.417,tag10851
1.715,tag7509
1.104,tag4348
1.953,tag11300
1.860,tag3090
1.866,tag10256
1.021,tag1528
1.329,tag5857
1.679,tag6264
1.785,tag11349
1.114,tag848
1.641,tag10659
1.908,tag5969
1.817,tag1163
1.067,tag501
1.670,tag10001
1.773,tag293
1.135,tag8910
1.608,tag6398
1.622,tag1512
1.290,tag1183
1.700,tag5633
1.472,tag11957
1.239,tag2286
1.733,tag1213
1.189,tag3997
1.753,tag6342
1.968,tag6714
1.902,tag2921
1.117,tag6870
1.716,tag4337
1.964,tag11739
1.177,tag10969
2.930,tag947
2.733,tag10094
2.044,tag11228
2.381,tag1473
2.028,tag11108
2.237,tag7561
2.656,tag10120
2.934,tag7331
2.024,tag6282
2.857,tag1512
2.127,tag3484
2.065,tag2691
2.395,tag7082
2.783,tag6853
2.653,tag680
2.746,tag4296
2.271,tag2006
2.466,tag8614
2.007,tag1136
2.804,tag6877
2.418,tag9515
2.283,tag7538
2.467,tag5946
2.395,tag9168
2.796,tag588
2.479,tag7932
2.790,tag6385
2.664,tag10090
2.086,tag10484
2.992,tag4626
2.800,tag9590
2.453,tag850
2.146,tag4617
2.068,tag8759
2.203,tag283
2.471,tag1572
2.002,tag11632
2.523,tag5389
2.837,tag4890
2.847,tag5693
3.169,tag10563
3.013,tag5153
3.793,tag4524
3.694,tag8770
3.250,tag10185
3.350,tag11925
3.283,tag7308
3.071,tag9086
3.581,tag287
3.132,tag9046
3.578,tag7589
3.032,tag531
3.175,tag4867
3.636,tag7153
3.170,tag10485
3.205,tag11844
3.211,tag5440
3.829,tag4524
3.702,tag6696
3.019,tag6778
3.523,tag725
3.665,tag9333
3.979,tag1554
3.305,tag7600
3.736,tag3106
3.857,tag4179
3.439,tag3992
3.198,tag5922
3.955,tag8557
3.138,tag9935
3.550,tag8970
3.948,tag11066
3.204,tag2185
3.843,tag1677
3.214,tag2529
3.826,tag1763
3.707,tag5995
3.287,tag2536
3.152,tag3281
3.965,tag11331
4.277,tag545
4.096,tag902
4.894,tag3773
4.307,tag5098
4.154,tag5031
4.477,tag6640
4.111,tag7903
4.933,tag11531
4.665,tag1729
4.024,tag3337
4.640,tag11083
4.047,tag3230
4.805,tag11250
4.262,tag4819
4.455,tag9141
4.940,tag7376
4.968,tag3588
4.087,tag7134
4.555,tag10077
4.030,tag6915
4.381,tag1824
4.577,tag6153
4.843,tag6740
4.855,tag1079
4.262,tag10465
4.794,tag7531
4.451,tag214
4.710,tag5887
4.913,tag4748
4.162,tag8386
4.407,tag6709
4.743,tag7676
4.685,tag8969
4.129,tag10119
4.971,tag3953
4.289,tag7853
4.103,tag7349
4.787,tag8789
4.480,tag313
4.814,tag6126
5.962,tag7234
5.622,tag6044
5.520,tag2313
5.582,tag9609
5.921,tag6597
5.454,tag11388
5.860,tag1629
5.732,tag8788
5.960,tag3186
5.379,tag8904
5.808,tag4399
5.565,tag4773
5.779,tag8602
5.020,tag953
5.885,tag8502
5.999,tag8273
5.759,tag4267
5.711,tag10125
5.157,tag4607
5.070,tag35
5.038,tag484
5.129,tag5401
5.792,tag9503
5.817,tag505
5.996,tag11560
5.553,tag7311
5.942,tag5676
5.599,tag7008
5.178,tag2242
5.267,tag9584
5.055,tag6336
5.221,tag429
5.844,tag9354
5.497,tag5428
5.786,tag1351
5.038,tag3777
5.208,tag6462
5.245,tag4180
5.093,tag592
5.849,tag1682
6.207,tag9310
6.717,tag5337
6.955,tag8259
6.347,tag3484
6.170,tag1103
6.008,tag3291
6.657,tag8218
6.400,tag37
6.324,tag238
6.823,tag4545
6.110,tag7551
6.282,tag10833
6.912,tag3070
6.677,tag2468
6.362,tag11535
6.915,tag4596
6.199,tag11984
6.550,tag6062
6.690,tag6009
6.496,tag3504
6.908,tag2388
6.230,tag4593
6.244,tag8294
6.240,tag11225
6.421,tag9996
6.687,tag1794
6.868,tag6458
6.379,tag8198
6.245,tag2810
6.134,tag6125
6.738,tag6230
6.636,tag616
6.768,tag7461
6.235,tag1929
6.356,tag5382
6.364,tag5671
6.712,tag9494
6.148,tag9083
6.291,tag915
6.421,tag10925
7.294,tag3382
7.645,tag8501
7.861,tag5748
7.942,tag11926
7.513,tag11909
7.944,tag5782
