csv,original_column,released_as,action
alpha400_mix.csv,always_csr_ms,always_delta_baseline_ms,renamed
alpha400_mix.csv,always_hst_p4_ms,always_hst_patchable_ms,renamed
alpha400_mix.csv,misroute_cost_if_csr,misroute_cost_if_delta_baseline,renamed
alpha400_mix.csv,p4_arena_ratio,patchable_arena_ratio,renamed
alpha400_mix.csv,p4_rows,rows_patchable,renamed
alpha400_mix.csv,p4_splices,patchable_splices,renamed
alpha400_mix.csv,p4_vs_csr,patchable_vs_delta_baseline,renamed
alpha400_mix.csv,p4_vs_p3,patchable_vs_per_block,renamed
alpha400_mix.csv,tile,,denied
alpha400_mix.csv,dens,,denied
alpha400_mix.csv,p4_tiles_per_splice,,denied
alpha400_mix.csv,router_probes,,denied
alpha400_mix.csv,router_decisions,,free text
alpha_mix.csv,always_csr_ms,always_delta_baseline_ms,renamed
alpha_mix.csv,always_hst_p4_ms,always_hst_patchable_ms,renamed
alpha_mix.csv,misroute_cost_if_csr,misroute_cost_if_delta_baseline,renamed
alpha_mix.csv,p4_arena_ratio,patchable_arena_ratio,renamed
alpha_mix.csv,p4_rows,rows_patchable,renamed
alpha_mix.csv,p4_splices,patchable_splices,renamed
alpha_mix.csv,p4_vs_csr,patchable_vs_delta_baseline,renamed
alpha_mix.csv,p4_vs_p3,patchable_vs_per_block,renamed
alpha_mix.csv,tile,,denied
alpha_mix.csv,dens,,denied
alpha_mix.csv,p4_tiles_per_splice,,denied
alpha_mix.csv,router_probes,,denied
alpha_mix.csv,router_decisions,,free text
baseline_best.csv,csc_ms,delta_csc_ms,renamed
baseline_best.csv,csr1_ms,delta_baseline_1thread_ms,renamed
baseline_best.csv,csr_best_ms,delta_baseline_best_ms,renamed
baseline_best.csv,csr_build_ms,delta_baseline_build_ms,renamed
baseline_best.csv,csr_nnz,delta_baseline_nnz,renamed
baseline_best.csv,csr_rows,delta_baseline_rows,renamed
baseline_best.csv,csr_serial_ms,delta_baseline_serial_ms,renamed
baseline_best.csv,csr_thread_speedup,delta_baseline_thread_speedup,renamed
baseline_best.csv,hst_nnz,block_nnz,renamed
baseline_best.csv,hst_vs_csr_best,hst_vs_delta_baseline_best,renamed
baseline_best.csv,tile,,denied
baseline_best.csv,dens,,denied
baseline_best.csv,hst_build_ms,,denied
baseline_best.csv,hst_p3_ms,,denied
baseline_best.csv,hst_p2_ms,,denied
control_bootstrap.csv,note,,free text
control_seed_spread.csv,csr_relabel_penalty,delta_baseline_relabel_penalty,renamed
control_seed_spread.csv,csr_relabel_penalty_hi,delta_baseline_relabel_penalty_hi,renamed
control_seed_spread.csv,csr_relabel_penalty_lo,delta_baseline_relabel_penalty_lo,renamed
family.csv,bs_merge_exec_ms,block_open_merged_exec_ms,renamed
family.csv,bs_merge_ms,block_open_merged_ms,renamed
family.csv,bs_merge_prepares,block_open_merged_prepares,renamed
family.csv,bs_merge_vs_bs_tile,block_open_merged_vs_block_open,renamed
family.csv,bs_merge_vs_csr,block_open_merged_vs_delta_baseline,renamed
family.csv,bs_tile_compiles,block_open_compiles,renamed
family.csv,bs_tile_exec_ms,block_open_exec_ms,renamed
family.csv,bs_tile_ms,block_open_ms,renamed
family.csv,bs_tile_prepares,block_open_prepares,renamed
family.csv,bs_tile_vs_csr,block_open_vs_delta_baseline,renamed
family.csv,csr_exec_ms,delta_baseline_exec_ms,renamed
family.csv,csr_ms,delta_baseline_ms,renamed
family.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
family.csv,merge_merged,rows_merged,renamed
family.csv,merge_per_tile,rows_per_block,renamed
family.csv,p3_vs_bs_tile,hst_vs_block_open,renamed
family.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
family.csv,tile,,denied
family.csv,scanned,,denied
family.csv,exact,,denied
family.csv,tiles,,denied
family.csv,dens,,denied
family.csv,p3_misses,,denied
family.csv,p2_misses,,denied
family.csv,p3_ms,,denied
family.csv,p3_exec_ms,,denied
family.csv,p2_ms,,denied
family.csv,p2_exec_ms,,denied
family.csv,p2_vs_csr,,denied
family_jump_nnz.csv,bs_merge_exec_ms,block_open_merged_exec_ms,renamed
family_jump_nnz.csv,bs_merge_ms,block_open_merged_ms,renamed
family_jump_nnz.csv,bs_merge_prepares,block_open_merged_prepares,renamed
family_jump_nnz.csv,bs_merge_vs_bs_tile,block_open_merged_vs_block_open,renamed
family_jump_nnz.csv,bs_merge_vs_csr,block_open_merged_vs_delta_baseline,renamed
family_jump_nnz.csv,bs_tile_compiles,block_open_compiles,renamed
family_jump_nnz.csv,bs_tile_exec_ms,block_open_exec_ms,renamed
family_jump_nnz.csv,bs_tile_ms,block_open_ms,renamed
family_jump_nnz.csv,bs_tile_prepares,block_open_prepares,renamed
family_jump_nnz.csv,bs_tile_vs_csr,block_open_vs_delta_baseline,renamed
family_jump_nnz.csv,csr_exec_ms,delta_baseline_exec_ms,renamed
family_jump_nnz.csv,csr_ms,delta_baseline_ms,renamed
family_jump_nnz.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
family_jump_nnz.csv,merge_merged,rows_merged,renamed
family_jump_nnz.csv,merge_per_tile,rows_per_block,renamed
family_jump_nnz.csv,p3_vs_bs_tile,hst_vs_block_open,renamed
family_jump_nnz.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
family_jump_nnz.csv,tile,,denied
family_jump_nnz.csv,scanned,,denied
family_jump_nnz.csv,exact,,denied
family_jump_nnz.csv,tiles,,denied
family_jump_nnz.csv,dens,,denied
family_jump_nnz.csv,p3_misses,,denied
family_jump_nnz.csv,p2_misses,,denied
family_jump_nnz.csv,p3_ms,,denied
family_jump_nnz.csv,p3_exec_ms,,denied
family_jump_nnz.csv,p2_ms,,denied
family_jump_nnz.csv,p2_exec_ms,,denied
family_jump_nnz.csv,p2_vs_csr,,denied
family_jump_plain.csv,bs_merge_exec_ms,block_open_merged_exec_ms,renamed
family_jump_plain.csv,bs_merge_ms,block_open_merged_ms,renamed
family_jump_plain.csv,bs_merge_prepares,block_open_merged_prepares,renamed
family_jump_plain.csv,bs_merge_vs_bs_tile,block_open_merged_vs_block_open,renamed
family_jump_plain.csv,bs_merge_vs_csr,block_open_merged_vs_delta_baseline,renamed
family_jump_plain.csv,bs_tile_compiles,block_open_compiles,renamed
family_jump_plain.csv,bs_tile_exec_ms,block_open_exec_ms,renamed
family_jump_plain.csv,bs_tile_ms,block_open_ms,renamed
family_jump_plain.csv,bs_tile_prepares,block_open_prepares,renamed
family_jump_plain.csv,bs_tile_vs_csr,block_open_vs_delta_baseline,renamed
family_jump_plain.csv,csr_exec_ms,delta_baseline_exec_ms,renamed
family_jump_plain.csv,csr_ms,delta_baseline_ms,renamed
family_jump_plain.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
family_jump_plain.csv,merge_merged,rows_merged,renamed
family_jump_plain.csv,merge_per_tile,rows_per_block,renamed
family_jump_plain.csv,p3_vs_bs_tile,hst_vs_block_open,renamed
family_jump_plain.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
family_jump_plain.csv,tile,,denied
family_jump_plain.csv,scanned,,denied
family_jump_plain.csv,exact,,denied
family_jump_plain.csv,tiles,,denied
family_jump_plain.csv,dens,,denied
family_jump_plain.csv,p3_misses,,denied
family_jump_plain.csv,p2_misses,,denied
family_jump_plain.csv,p3_ms,,denied
family_jump_plain.csv,p3_exec_ms,,denied
family_jump_plain.csv,p2_ms,,denied
family_jump_plain.csv,p2_exec_ms,,denied
family_jump_plain.csv,p2_vs_csr,,denied
family_key_fast.csv,bs_merge_exec_ms,block_open_merged_exec_ms,renamed
family_key_fast.csv,bs_merge_ms,block_open_merged_ms,renamed
family_key_fast.csv,bs_merge_prepares,block_open_merged_prepares,renamed
family_key_fast.csv,bs_merge_vs_bs_tile,block_open_merged_vs_block_open,renamed
family_key_fast.csv,bs_merge_vs_csr,block_open_merged_vs_delta_baseline,renamed
family_key_fast.csv,bs_tile_compiles,block_open_compiles,renamed
family_key_fast.csv,bs_tile_exec_ms,block_open_exec_ms,renamed
family_key_fast.csv,bs_tile_ms,block_open_ms,renamed
family_key_fast.csv,bs_tile_prepares,block_open_prepares,renamed
family_key_fast.csv,bs_tile_vs_csr,block_open_vs_delta_baseline,renamed
family_key_fast.csv,csr_exec_ms,delta_baseline_exec_ms,renamed
family_key_fast.csv,csr_ms,delta_baseline_ms,renamed
family_key_fast.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
family_key_fast.csv,merge_merged,rows_merged,renamed
family_key_fast.csv,merge_per_tile,rows_per_block,renamed
family_key_fast.csv,p3_vs_bs_tile,hst_vs_block_open,renamed
family_key_fast.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
family_key_fast.csv,tile,,denied
family_key_fast.csv,scanned,,denied
family_key_fast.csv,exact,,denied
family_key_fast.csv,tiles,,denied
family_key_fast.csv,dens,,denied
family_key_fast.csv,p3_misses,,denied
family_key_fast.csv,p2_misses,,denied
family_key_fast.csv,p3_ms,,denied
family_key_fast.csv,p3_exec_ms,,denied
family_key_fast.csv,p2_ms,,denied
family_key_fast.csv,p2_exec_ms,,denied
family_key_fast.csv,p2_vs_csr,,denied
family_key_python.csv,bs_merge_exec_ms,block_open_merged_exec_ms,renamed
family_key_python.csv,bs_merge_ms,block_open_merged_ms,renamed
family_key_python.csv,bs_merge_prepares,block_open_merged_prepares,renamed
family_key_python.csv,bs_merge_vs_bs_tile,block_open_merged_vs_block_open,renamed
family_key_python.csv,bs_merge_vs_csr,block_open_merged_vs_delta_baseline,renamed
family_key_python.csv,bs_tile_compiles,block_open_compiles,renamed
family_key_python.csv,bs_tile_exec_ms,block_open_exec_ms,renamed
family_key_python.csv,bs_tile_ms,block_open_ms,renamed
family_key_python.csv,bs_tile_prepares,block_open_prepares,renamed
family_key_python.csv,bs_tile_vs_csr,block_open_vs_delta_baseline,renamed
family_key_python.csv,csr_exec_ms,delta_baseline_exec_ms,renamed
family_key_python.csv,csr_ms,delta_baseline_ms,renamed
family_key_python.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
family_key_python.csv,merge_merged,rows_merged,renamed
family_key_python.csv,merge_per_tile,rows_per_block,renamed
family_key_python.csv,p3_vs_bs_tile,hst_vs_block_open,renamed
family_key_python.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
family_key_python.csv,tile,,denied
family_key_python.csv,scanned,,denied
family_key_python.csv,exact,,denied
family_key_python.csv,tiles,,denied
family_key_python.csv,dens,,denied
family_key_python.csv,p3_misses,,denied
family_key_python.csv,p2_misses,,denied
family_key_python.csv,p3_ms,,denied
family_key_python.csv,p3_exec_ms,,denied
family_key_python.csv,p2_ms,,denied
family_key_python.csv,p2_exec_ms,,denied
family_key_python.csv,p2_vs_csr,,denied
merge_rows.csv,p2_rows,rows_merged,renamed
merge_rows.csv,p3_rows,rows_per_block,renamed
merge_rows.csv,p4_rows,rows_patchable,renamed
merge_rows.csv,tile,,denied
merge_rows.csv,dens,,denied
merge_rows.csv,tiles,,denied
merge_rows_replicate.csv,p2_rows,rows_merged,renamed
merge_rows_replicate.csv,p3_rows,rows_per_block,renamed
merge_rows_replicate.csv,p4_rows,rows_patchable,renamed
merge_rows_replicate.csv,tile,,denied
merge_rows_replicate.csv,dens,,denied
merge_rows_replicate.csv,tiles,,denied
merge_structural.csv,merged,rows_merged,renamed
merge_structural.csv,per_tile,rows_per_block,renamed
merge_structural.csv,tiles,,denied
merge_structural.csv,scanned,,denied
merge_structural.csv,exact,,denied
merge_structural.csv,dens,,denied
merge_structural.csv,tile,,denied
ordering_drift.csv,always_csr_ms,always_delta_baseline_ms,renamed
ordering_drift.csv,always_hst_p4_ms,always_hst_patchable_ms,renamed
ordering_drift.csv,misroute_cost_if_csr,misroute_cost_if_delta_baseline,renamed
ordering_drift.csv,p4_arena_ratio,patchable_arena_ratio,renamed
ordering_drift.csv,p4_rows,rows_patchable,renamed
ordering_drift.csv,p4_splices,patchable_splices,renamed
ordering_drift.csv,p4_vs_csr,patchable_vs_delta_baseline,renamed
ordering_drift.csv,p4_vs_p3,patchable_vs_per_block,renamed
ordering_drift.csv,tile,,denied
ordering_drift.csv,dens,,denied
ordering_drift.csv,p4_tiles_per_splice,,denied
ordering_drift.csv,router_probes,,denied
ordering_drift.csv,router_decisions,,free text
p4_churn_drift_pooled.csv,csc_mean_ms,delta_csc_mean_ms,renamed
p4_churn_drift_pooled.csv,csr_mean_ms,delta_baseline_mean_ms,renamed
p4_churn_drift_pooled.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
p4_churn_drift_pooled.csv,p2_rows,rows_merged,renamed
p4_churn_drift_pooled.csv,p3_rows,rows_per_block,renamed
p4_churn_drift_pooled.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
p4_churn_drift_pooled.csv,p4_arena_ratio,patchable_arena_ratio,renamed
p4_churn_drift_pooled.csv,p4_dead_ratio,patchable_dead_ratio,renamed
p4_churn_drift_pooled.csv,p4_exec_vs_p2_exec,patchable_exec_vs_merged_exec,renamed
p4_churn_drift_pooled.csv,p4_maxrelerr,patchable_maxrelerr,renamed
p4_churn_drift_pooled.csv,p4_rows,rows_patchable,renamed
p4_churn_drift_pooled.csv,p4_splice_rate,patchable_splice_rate,renamed
p4_churn_drift_pooled.csv,p4_splices,patchable_splices,renamed
p4_churn_drift_pooled.csv,p4_vs_csr,patchable_vs_delta_baseline,renamed
p4_churn_drift_pooled.csv,p4_vs_p3,patchable_vs_per_block,renamed
p4_churn_drift_pooled.csv,tile,,denied
p4_churn_drift_pooled.csv,dens,,denied
p4_churn_drift_pooled.csv,hst_eligible,,denied
p4_churn_drift_pooled.csv,hst_mean_ms,,denied
p4_churn_drift_pooled.csv,hst_median_ms,,denied
p4_churn_drift_pooled.csv,p3_mean_ms,,denied
p4_churn_drift_pooled.csv,p3_vs_csc,,denied
p4_churn_drift_pooled.csv,p2_vs_csr,,denied
p4_churn_drift_pooled.csv,p3_vs_sup,,denied
p4_churn_drift_pooled.csv,p3mt_mean_ms,,denied
p4_churn_drift_pooled.csv,p3mt_vs_p3,,denied
p4_churn_drift_pooled.csv,p3mt_vs_sup,,denied
p4_churn_drift_pooled.csv,p3_vs_p2,,denied
p4_churn_drift_pooled.csv,p4_mean_ms,,denied
p4_churn_drift_pooled.csv,p4_exec_mean_ms,,denied
p4_churn_drift_pooled.csv,p4_splice_mean_ms,,denied
p4_churn_drift_pooled.csv,hst_exec_mean_ms,,denied
p4_churn_drift_pooled.csv,p3_exec_mean_ms,,denied
p4_churn_drift_pooled.csv,hst_pre_mean_ms,,denied
p4_churn_drift_pooled.csv,p3_pre_mean_ms,,denied
p4_churn_drift_pooled.csv,p4_exec_vs_p3_exec,,denied
p4_churn_drift_pooled.csv,p2_build_mean_ms,,denied
p4_churn_drift_pooled.csv,p3_build_mean_ms,,denied
p4_churn_drift_pooled.csv,p4_vs_p3_nokey,,denied
p4_churn_drift_pooled.csv,p4_vs_p2_nokey,,denied
p4_churn_drift_pooled.csv,p4_vs_p2,,denied
p4_churn_drift_pooled.csv,p4_vs_csc,,denied
p4_churn_drift_pooled.csv,p4_tiles_per_splice,,denied
p4_churn_drift_pooled.csv,p3_build_ms_total,,denied
p4_churn_drift_pooled.csv,segs_cached,,denied
p4_churn_jump_pooled.csv,csc_mean_ms,delta_csc_mean_ms,renamed
p4_churn_jump_pooled.csv,csr_mean_ms,delta_baseline_mean_ms,renamed
p4_churn_jump_pooled.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
p4_churn_jump_pooled.csv,p2_rows,rows_merged,renamed
p4_churn_jump_pooled.csv,p3_rows,rows_per_block,renamed
p4_churn_jump_pooled.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
p4_churn_jump_pooled.csv,p4_arena_ratio,patchable_arena_ratio,renamed
p4_churn_jump_pooled.csv,p4_dead_ratio,patchable_dead_ratio,renamed
p4_churn_jump_pooled.csv,p4_exec_vs_p2_exec,patchable_exec_vs_merged_exec,renamed
p4_churn_jump_pooled.csv,p4_maxrelerr,patchable_maxrelerr,renamed
p4_churn_jump_pooled.csv,p4_rows,rows_patchable,renamed
p4_churn_jump_pooled.csv,p4_splice_rate,patchable_splice_rate,renamed
p4_churn_jump_pooled.csv,p4_splices,patchable_splices,renamed
p4_churn_jump_pooled.csv,p4_vs_csr,patchable_vs_delta_baseline,renamed
p4_churn_jump_pooled.csv,p4_vs_p3,patchable_vs_per_block,renamed
p4_churn_jump_pooled.csv,tile,,denied
p4_churn_jump_pooled.csv,dens,,denied
p4_churn_jump_pooled.csv,hst_eligible,,denied
p4_churn_jump_pooled.csv,hst_mean_ms,,denied
p4_churn_jump_pooled.csv,hst_median_ms,,denied
p4_churn_jump_pooled.csv,p3_mean_ms,,denied
p4_churn_jump_pooled.csv,p3_vs_csc,,denied
p4_churn_jump_pooled.csv,p2_vs_csr,,denied
p4_churn_jump_pooled.csv,p3_vs_sup,,denied
p4_churn_jump_pooled.csv,p3mt_mean_ms,,denied
p4_churn_jump_pooled.csv,p3mt_vs_p3,,denied
p4_churn_jump_pooled.csv,p3mt_vs_sup,,denied
p4_churn_jump_pooled.csv,p3_vs_p2,,denied
p4_churn_jump_pooled.csv,p4_mean_ms,,denied
p4_churn_jump_pooled.csv,p4_exec_mean_ms,,denied
p4_churn_jump_pooled.csv,p4_splice_mean_ms,,denied
p4_churn_jump_pooled.csv,hst_exec_mean_ms,,denied
p4_churn_jump_pooled.csv,p3_exec_mean_ms,,denied
p4_churn_jump_pooled.csv,hst_pre_mean_ms,,denied
p4_churn_jump_pooled.csv,p3_pre_mean_ms,,denied
p4_churn_jump_pooled.csv,p4_exec_vs_p3_exec,,denied
p4_churn_jump_pooled.csv,p2_build_mean_ms,,denied
p4_churn_jump_pooled.csv,p3_build_mean_ms,,denied
p4_churn_jump_pooled.csv,p4_vs_p3_nokey,,denied
p4_churn_jump_pooled.csv,p4_vs_p2_nokey,,denied
p4_churn_jump_pooled.csv,p4_vs_p2,,denied
p4_churn_jump_pooled.csv,p4_vs_csc,,denied
p4_churn_jump_pooled.csv,p4_tiles_per_splice,,denied
p4_churn_jump_pooled.csv,p3_build_ms_total,,denied
p4_churn_jump_pooled.csv,segs_cached,,denied
p4_frozen.csv,csc_mean_ms,delta_csc_mean_ms,renamed
p4_frozen.csv,csr_mean_ms,delta_baseline_mean_ms,renamed
p4_frozen.csv,csr_rebuilds,delta_baseline_rebuilds,renamed
p4_frozen.csv,p2_rows,rows_merged,renamed
p4_frozen.csv,p3_rows,rows_per_block,renamed
p4_frozen.csv,p3_vs_csr,hst_vs_delta_baseline,renamed
p4_frozen.csv,p4_arena_ratio,patchable_arena_ratio,renamed
p4_frozen.csv,p4_dead_ratio,patchable_dead_ratio,renamed
p4_frozen.csv,p4_exec_vs_p2_exec,patchable_exec_vs_merged_exec,renamed
