matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,False,400,256,14.616648,0.441734,0.462333,0.955,31.615,1.0,0.709939,0.43044,33.957,1.026,1,0.441734,hst,20.589,33.089,0.622,33.089,1.0,1.3924108160288588e-16,mix,53,1.035,30540,hst,1,8.071,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,False,400,256,14.678156,0.422642,0.460469,0.918,31.877,1.0,1.518704,1.274985,11.512,0.331,25,0.422642,hst,9.665,34.73,0.278,34.73,1.0,1.3924108160288588e-16,mix,74,1.027,30606,hst,1,333.333,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,False,400,256,14.495529,0.406649,0.390242,1.042,37.145,1.042,1.316541,0.958042,15.13,0.424,19,0.406649,hst,11.01,35.646,0.309,35.646,1.0,1.3924108160288588e-16,mix,36,1.02,30532,hst,1,253.626,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,False,400,256,14.653375,0.414531,0.38994,1.063,37.579,1.063,0.681438,0.404537,36.223,1.025,1,0.414531,hst,21.504,35.349,0.608,35.349,1.0,1.3924108160288588e-16,mix,34,1.018,30614,hst,1,8.152,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,False,400,138,0.380183,0.373609,0.356529,1.048,1.066,1.048,0.382888,0.346286,1.098,1.079,0,0.373609,hst,0.993,1.018,0.976,1.018,1.0,1.3924108160288588e-16,mix,0,1.0,30428,delta_baseline,0,0.0,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,False,400,256,14.770048,0.439432,0.585489,0.751,25.227,1.0,0.710851,0.437156,33.787,1.005,1,0.439432,hst,20.778,33.612,0.618,33.612,1.0,1.3924108160288588e-16,mix,284,1.148,30508,hst,1,8.288,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,False,400,256,14.741081,0.445683,0.640589,0.696,23.012,1.0,0.729966,0.456719,32.276,0.976,1,0.445683,hst,20.194,33.075,0.611,33.075,1.0,1.3924108160288588e-16,mix,388,1.249,30532,hst,1,8.399,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,False,400,256,14.803132,0.436632,0.545176,0.801,27.153,1.0,0.712835,0.439244,33.701,0.994,1,0.436632,hst,20.767,33.903,0.613,33.903,1.0,1.3924108160288588e-16,mix,202,1.08,30516,hst,1,8.21,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,False,400,256,14.773828,0.444219,0.645731,0.688,22.879,1.0,0.716936,0.443234,33.332,1.002,1,0.444219,hst,20.607,33.258,0.62,33.258,1.0,1.3924108160288588e-16,mix,336,1.201,30540,hst,1,8.366,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,False,400,138,14.556021,0.437677,0.702704,0.623,20.714,1.0,0.715744,0.442168,32.92,0.99,1,0.437677,hst,20.337,33.257,0.611,33.257,1.0,1.3924108160288588e-16,mix,389,1.295,30526,hst,1,8.187,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,False,400,256,8.68186,0.2707,0.286944,0.943,30.256,1.0,0.433337,0.275711,31.489,0.982,1,0.2707,hst,20.035,32.072,0.625,32.072,1.0,1.2582477660838618e-16,mix,129,1.13,8177,hst,1,4.21,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,False,400,256,8.610625,0.274395,0.258911,1.06,33.257,1.06,0.441435,0.278946,30.868,0.984,1,0.274395,hst,19.506,31.38,0.622,31.38,1.0,1.2582477660838618e-16,mix,170,1.135,8175,hst,1,4.39,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,False,400,256,8.142732,0.271452,0.25179,1.078,32.339,1.078,0.434527,0.274707,29.642,0.988,1,0.271452,hst,18.739,29.997,0.625,29.997,1.0,1.2582477660838618e-16,mix,138,1.133,8129,hst,1,4.36,native,0,0.0,0.0
