matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,False,200,256,14.599141,0.468702,0.45427,1.032,32.138,1.032,0.999108,0.439944,33.184,1.065,1,0.468702,hst,14.612,31.148,0.469,31.148,1.0,1.3924108160288588e-16,mix,31,1.027,30268,hst,1,8.529,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,False,200,256,14.695738,0.423901,0.49493,0.856,29.693,1.0,1.98577,1.516575,9.69,0.28,16,0.423901,hst,7.401,34.668,0.213,34.668,1.0,1.3924108160288588e-16,mix,32,1.019,30612,hst,1,204.561,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,False,200,256,14.441896,0.426964,0.428033,0.998,33.74,1.0,1.892122,1.216649,11.87,0.351,14,0.426964,hst,7.633,33.825,0.226,33.825,1.0,1.3924108160288588e-16,mix,18,1.01,30574,hst,1,189.646,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,False,200,256,14.794482,0.463952,0.680941,0.681,21.727,1.0,1.011998,0.468204,31.598,0.991,1,0.463952,hst,14.619,31.888,0.458,31.888,1.0,1.3924108160288588e-16,mix,195,1.126,30586,hst,1,8.125,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,False,200,256,14.789777,0.464903,0.715614,0.65,20.667,1.0,1.023837,0.469473,31.503,0.99,1,0.464903,hst,14.445,31.813,0.454,31.813,1.0,1.3924108160288588e-16,mix,195,1.172,30366,hst,1,8.266,native,0,0.0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,False,200,256,14.767508,0.440095,0.65999,0.667,22.375,1.0,0.988601,0.436954,33.796,1.007,1,0.440095,hst,14.938,33.555,0.445,33.555,1.0,1.3924108160288588e-16,mix,164,1.075,30556,hst,1,8.191,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,False,200,256,8.832723,0.274059,0.27439,0.999,32.19,1.0,0.592365,0.275984,32.004,0.993,1,0.274059,hst,14.911,32.229,0.463,32.229,1.0,1.2582477660838618e-16,mix,84,1.097,8154,hst,1,4.294,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,False,200,256,8.616452,0.270528,0.271449,0.997,31.742,1.0,0.600481,0.275448,31.282,0.982,1,0.270528,hst,14.349,31.851,0.451,31.851,1.0,1.2582477660838618e-16,mix,77,1.081,8165,hst,1,4.369,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,False,200,256,8.625067,0.268581,0.274851,0.977,31.381,1.0,0.591975,0.273174,31.573,0.983,1,0.268581,hst,14.57,32.113,0.454,32.113,1.0,1.2582477660838618e-16,mix,78,1.12,8156,hst,1,4.348,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.25,17,False,200,256,8.831107,0.301306,0.506511,0.595,17.435,1.0,0.634861,0.304183,29.032,0.991,1,0.301306,hst,13.91,29.309,0.475,29.309,1.0,1.2582477660838618e-16,mix,199,1.849,8184,hst,1,4.569,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.25,18,False,200,256,8.928379,0.299595,0.44896,0.667,19.887,1.0,0.62992,0.303672,29.401,0.987,1,0.299595,hst,14.174,29.802,0.476,29.802,1.0,1.2582477660838618e-16,mix,199,1.862,8145,hst,1,4.345,native,0,0.0,0.0
TSOPF_RS_b162_c3,15374,610299,8,0.25,19,False,200,256,9.036949,0.303168,0.505978,0.599,17.86,1.0,0.63621,0.30525,29.605,0.993,1,0.303168,hst,14.204,29.808,0.477,29.808,1.0,1.2582477660838618e-16,mix,199,2.005,8315,hst,1,4.457,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.01,17,False,200,256,18.668684,0.653925,0.792299,0.825,23.563,1.0,1.448514,0.666877,27.994,0.981,1,0.653925,hst,12.888,28.549,0.451,28.549,1.0,1.1112960972222602e-16,mix,135,1.239,7986,hst,1,9.387,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.01,18,False,200,256,16.764675,0.681226,0.841605,0.809,19.92,1.0,1.496833,0.685019,24.473,0.994,1,0.681226,hst,11.2,24.61,0.455,24.61,1.0,1.1112960972222602e-16,mix,149,1.336,8025,hst,1,9.928,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.01,19,False,200,256,16.000139,0.660809,0.81724,0.809,19.578,1.0,1.450866,0.654091,24.462,1.01,1,0.660809,hst,11.028,24.213,0.455,24.213,1.0,1.1112960972222602e-16,mix,126,1.463,7940,hst,1,9.682,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.25,17,False,200,256,22.052499,0.702236,1.311649,0.535,16.813,1.0,1.485418,0.697022,31.638,1.007,0,0.702236,hst,14.846,31.403,0.473,31.403,1.0,1.1112960972222602e-16,mix,199,3.863,7775,hst,1,9.901,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.25,18,False,200,256,22.276562,0.699466,1.331834,0.525,16.726,1.0,1.515153,0.692364,32.175,1.01,0,0.699466,hst,14.703,31.848,0.462,31.848,1.0,1.1112960972222602e-16,mix,199,4.221,7836,hst,1,10.244,native,0,0.0,0.0
TSOPF_RS_b300_c1,14538,1474325,8,0.25,19,False,200,256,9.294801,0.343195,0.639513,0.537,14.534,1.0,1.111059,0.283875,32.743,1.209,1,0.343195,hst,8.366,27.083,0.309,27.083,1.0,1.1112960972222602e-16,mix,197,1.509,717,hst,1,10.424,native,0,0.0,0.0
case9,14454,147972,8,0.01,17,False,200,256,1.257695,0.09789,0.106279,0.921,11.834,1.0,0.14362,0.099067,12.695,0.988,1,0.09789,hst,8.757,12.848,0.682,12.848,1.0,1.8253563338087409e-16,mix,127,1.446,7757,hst,1,1.306,native,0,0.0,0.0
case9,14454,147972,8,0.01,18,False,200,256,1.275048,0.115394,0.146369,0.788,8.711,1.0,0.165615,0.11957,10.664,0.965,1,0.115394,hst,7.699,11.05,0.697,11.05,1.0,1.6384614607668743e-15,mix,166,1.892,8132,hst,1,1.382,native,0,0.0,0.0
case9,14454,147972,8,0.01,19,False,200,256,1.238758,0.092789,0.109829,0.845,11.279,1.0,0.144442,0.097529,12.701,0.951,1,0.092789,hst,8.576,13.35,0.642,13.35,1.0,1.8253563338087409e-16,mix,116,1.385,7768,hst,1,1.365,native,0,0.0,0.0
case9,14454,147972,8,0.25,17,False,200,256,1.289133,0.108977,0.212859,0.512,6.056,1.0,0.16161,0.112764,11.432,0.966,1,0.108977,hst,7.977,11.829,0.674,11.829,1.0,1.8253563338087409e-16,mix,199,2.636,7692,hst,1,1.401,native,0,0.0,0.0
case9,14454,147972,8,0.25,18,False,200,256,1.2918,0.111798,0.227306,0.492,5.683,1.0,0.163709,0.114062,11.325,0.98,1,0.111798,hst,7.891,11.555,0.683,11.555,1.0,1.6384614607668743e-15,mix,199,3.509,7776,hst,1,1.462,native,0,0.0,0.0
case9,14454,147972,8,0.25,19,False,200,256,1.293166,0.108323,0.21234,0.51,6.09,1.0,0.161619,0.111923,11.554,0.968,1,0.108323,hst,8.001,11.938,0.67,11.938,1.0,1.8253563338087409e-16,mix,199,2.586,7694,hst,1,1.38,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.01,17,False,200,256,0.0828,0.051915,0.060367,0.86,1.372,1.0,0.084925,0.05894,1.405,0.881,121,0.051915,hst,0.975,1.595,0.611,1.595,1.0,3.3992994908668667e-16,mix,168,2.681,1566,hst,1,2.892,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.01,18,False,200,256,0.080566,0.049538,0.058065,0.853,1.387,1.0,0.082461,0.057449,1.402,0.862,119,0.049538,hst,0.977,1.626,0.601,1.626,1.0,1.860896069197576e-16,mix,159,2.589,1578,hst,1,2.753,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.01,19,False,200,256,0.079034,0.048305,0.056411,0.856,1.401,1.0,0.081329,0.05664,1.395,0.853,117,0.048305,hst,0.972,1.636,0.594,1.636,1.0,1.4472386138826977e-16,mix,160,2.589,1580,hst,1,2.619,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.25,17,False,200,256,0.090882,0.059755,0.173515,0.344,0.524,1.0,0.094946,0.067796,1.341,0.881,134,0.059755,hst,0.957,1.521,0.629,1.521,1.0,3.3992994908668667e-16,mix,199,2.24,1587,hst,1,3.1,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.25,18,False,200,256,0.089841,0.059899,0.171074,0.35,0.525,1.0,0.094948,0.067834,1.324,0.883,144,0.059899,hst,0.946,1.5,0.631,1.5,1.0,1.860896069197576e-16,mix,199,3.223,1528,hst,1,3.161,native,0,0.0,0.0
bcspwr09,1723,6511,8,0.25,19,False,200,256,0.091578,0.059112,0.170022,0.348,0.539,1.0,0.094253,0.067269,1.361,0.879,129,0.059112,hst,0.972,1.549,0.627,1.549,1.0,1.4472386138826977e-16,mix,199,2.717,1543,hst,1,3.125,native,0,0.0,0.0
bcspwr10,5300,21842,8,0.01,17,False,200,256,0.087528,0.071492,0.126506,0.565,0.692,1.0,0.110215,0.079909,1.095,0.895,521,0.071492,hst,0.794,1.224,0.649,1.224,1.0,1.871280638170483e-16,mix,196,4.761,3704,hst,1,3.973,native,0,0.0,0.0
bcspwr10,5300,21842,8,0.01,18,False,200,256,0.090004,0.074837,0.136489,0.548,0.659,1.0,0.114205,0.083843,1.073,0.893,665,0.074837,hst,0.788,1.203,0.655,1.203,1.0,3.513861746800697e-16,mix,199,4.721,3925,hst,1,4.099,native,0,0.0,0.0
bcspwr10,5300,21842,8,0.01,19,False,200,256,0.086972,0.071944,0.119472,0.602,0.728,1.0,0.110124,0.080397,1.082,0.895,604,0.071944,hst,0.79,1.209,0.653,1.209,1.0,2.258919437555397e-16,mix,197,4.482,3513,hst,1,3.969,native,0,0.0,0.0
bcspwr10,5300,21842,8,0.25,17,False,200,256,0.096632,0.088361,0.452794,0.195,0.213,1.0,0.128758,0.098126,0.985,0.9,,0.088361,hst,0.75,1.094,0.686,1.094,1.0,1.871280638170483e-16,mix,199,2.861,3810,hst,1,4.438,native,0,0.0,0.0
