matrix,ordering,N,nnz,mode,dirty_cols,B,block_nnz,delta_baseline_nnz,delta_baseline_rows,delta_baseline_build_ms,maxrelerr,hst_ms,delta_csc_ms,delta_baseline_serial_ms,hst_vs_csr_serial,delta_baseline_1thread_ms,hst_vs_csr1,csr2_ms,hst_vs_csr2,csr4_ms,hst_vs_csr4,csr8_ms,hst_vs_csr8,delta_baseline_thread_speedup,delta_baseline_best_ms,hst_vs_delta_baseline_best,hst_vs_csc,csr1_vs_csc
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,1,306306,305958,30488,14.4106,3.31748947082187e-16,0.236941,0.251799,0.227569,0.96,0.27252,1.15,0.149278,0.63,0.189774,0.801,0.151386,0.639,1.8,0.149278,0.63,1.063,0.924
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,8,306306,305958,30488,16.623,2.923082558947044e-16,0.363262,1.575969,0.394015,1.085,0.844509,2.325,0.426026,1.173,0.532988,1.467,0.4046,1.114,2.087,0.394015,1.085,4.338,1.866
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,16,306306,305958,30488,15.3937,2.247078700460674e-16,0.552994,2.784523,0.694062,1.255,1.549341,2.802,0.785158,1.42,0.494414,0.894,0.694071,1.255,2.232,0.494414,0.894,5.035,1.797
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,1,306809,305958,30488,14.7439,3.184155545421367e-16,0.236204,0.251838,0.229141,0.97,0.272491,1.154,0.150054,0.635,0.101893,0.431,0.144681,0.613,1.883,0.101893,0.431,1.066,0.924
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,8,306809,305958,30488,14.7214,1.9165435325529707e-16,0.311475,1.574008,0.300666,0.965,0.841051,2.7,0.426728,1.37,0.540059,1.734,0.40416,1.298,2.081,0.300666,0.965,5.053,1.871
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,16,306809,305958,30488,14.5332,5.214644344453938e-16,0.461504,2.754882,0.450752,0.977,1.534427,3.325,0.782484,1.696,0.990438,2.146,0.709842,1.538,2.162,0.450752,0.977,5.969,1.795
bcspwr10,native,5300,21842,neighborhood,256,1,6502,1101,344,0.0694,1.6723681369129486e-16,0.004769,0.002572,0.001361,0.285,0.001751,0.367,0.001975,0.414,0.004859,1.019,0.008456,1.773,0.207,0.001361,0.285,0.539,1.469
bcspwr10,native,5300,21842,neighborhood,256,8,6502,1101,344,0.0774,2.3587505479609494e-16,0.009692,0.007317,0.002063,0.213,0.005126,0.529,0.004044,0.417,0.008834,0.911,0.011235,1.159,0.456,0.002063,0.213,0.755,1.428
bcspwr10,native,5300,21842,neighborhood,256,16,6502,1101,344,0.0795,2.3049880412430993e-16,0.010532,0.014762,0.00312,0.296,0.009966,0.946,0.006822,0.648,0.014275,1.355,0.01693,1.608,0.589,0.00312,0.296,1.402,1.481
bcspwr10,rcm,5300,21842,neighborhood,256,1,2065,1143,400,0.0747,1.210574563462242e-16,0.004688,0.002682,0.001911,0.408,0.00269,0.574,0.002303,0.491,0.005361,1.144,0.008889,1.896,0.303,0.001911,0.408,0.572,0.997
bcspwr10,rcm,5300,21842,neighborhood,256,8,2065,1143,400,0.0712,4.041499913660049e-16,0.006213,0.007662,0.0025,0.402,0.006622,1.066,0.004247,0.684,0.009196,1.48,0.012026,1.936,0.551,0.0025,0.402,1.233,1.157
bcspwr10,rcm,5300,21842,neighborhood,256,16,2065,1143,400,0.0713,1.7471232270327418e-16,0.010388,0.013485,0.003493,0.336,0.009604,0.925,0.006613,0.637,0.012971,1.249,0.016341,1.573,0.588,0.003493,0.336,1.298,1.404
ct20stif,native,52329,2600295,neighborhood,256,1,23451,15163,605,0.6727,3.7003286862186116e-20,0.021322,0.015269,0.014631,0.686,0.015134,0.71,0.008863,0.416,0.014555,0.683,0.018359,0.861,0.824,0.008863,0.416,0.716,1.009
ct20stif,native,52329,2600295,neighborhood,256,8,23451,15163,605,0.6717,4.1871913917674144e-20,0.028647,0.065316,0.019429,0.678,0.03564,1.244,0.019409,0.678,0.027807,0.971,0.028448,0.993,1.253,0.019409,0.678,2.28,1.833
ct20stif,native,52329,2600295,neighborhood,256,16,23451,15163,605,0.6741,4.499791982006026e-20,0.039893,0.131844,0.030825,0.773,0.066183,1.659,0.034956,0.876,0.040962,1.027,0.042013,1.053,1.575,0.030825,0.773,3.305,1.992
ct20stif,rcm,52329,2600295,neighborhood,256,1,21787,14813,707,0.6682,7.889544603539914e-20,0.019393,0.015069,0.014368,0.741,0.014894,0.768,0.010037,0.518,0.015627,0.806,0.020055,1.034,0.743,0.010037,0.518,0.777,1.012
ct20stif,rcm,52329,2600295,neighborhood,256,8,21787,14813,707,0.6766,3.4434870485194555e-20,0.025522,0.064224,0.016536,0.648,0.035821,1.404,0.021834,0.855,0.016834,0.66,0.029164,1.143,1.228,0.016536,0.648,2.516,1.793
ct20stif,rcm,52329,2600295,neighborhood,256,16,21787,14813,707,0.6733,4.4436752329534757e-20,0.041698,0.128451,0.028855,0.692,0.065932,1.581,0.039377,0.944,0.042899,1.029,0.042954,1.03,1.535,0.028855,0.692,3.081,1.948
memplus,native,17758,99147,neighborhood,256,1,20178,16619,7128,0.8699,6.066962659206854e-16,0.022599,0.018936,0.018305,0.81,0.025948,1.148,0.017661,0.782,0.024507,1.084,0.027947,1.237,0.928,0.017661,0.781,0.838,0.73
memplus,native,17758,99147,neighborhood,256,8,20178,16619,7128,1.0529,3.2113904614046533e-16,0.038177,0.088238,0.029817,0.781,0.077847,2.039,0.049771,1.304,0.048979,1.283,0.043152,1.13,1.804,0.029817,0.781,2.311,1.133
memplus,native,17758,99147,neighborhood,256,16,20178,16619,7128,1.0933,3.079077962562595e-16,0.067286,0.183114,0.046451,0.69,0.148619,2.209,0.087232,1.296,0.081149,1.206,0.064952,0.965,2.288,0.046451,0.69,2.721,1.232
memplus,rcm,17758,99147,neighborhood,256,1,19029,14905,6589,3.6578,7.112868258359145e-16,0.026038,0.01466,0.020593,0.791,0.024051,0.924,0.015489,0.595,0.025576,0.982,0.023478,0.902,1.024,0.015489,0.595,0.563,0.61
