matrix,N,nnz,B,rho,seed,motion,lane_order,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,rotate,400,256,305958,305958,305958,62106,30502,2.0361,3.4799005362835824e-16,1,1,35,1,0.35874,0.351475,0.424387,0.407229,0.358505,0.344194,0.8453,1.0007,0.8552,1.0117,1.1838
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,rotate,400,256,305958,305958,305958,62106,30502,2.0361,1.9892750543703998e-16,1,1,22,1,0.386299,0.378913,0.431202,0.413978,0.366473,0.351655,0.8959,1.0541,0.8919,0.9955,1.1766
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,rotate,400,256,305958,305958,305958,62028,30494,2.0341,3.372190252722962e-16,1,1,20,1,0.386095,0.378863,0.423304,0.406577,0.359728,0.345414,0.9121,1.0733,0.9189,1.0075,1.1767
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,rotate,400,256,305958,305958,305958,62106,30502,2.0361,3.253523553326168e-16,1,1,20,1,0.364782,0.357466,0.424391,0.407387,0.359368,0.344811,0.8595,1.0151,0.8573,0.9973,1.1809
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,rotate,400,138,304406,304406,304406,61516,30428,2.0217,2.905011715811546e-16,1,1,6,1,0.397209,0.389979,0.417119,0.40069,0.353602,0.339494,0.9523,1.1233,0.9602,1.0084,1.1796
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,rotate,400,256,302819.0,305958,304704,62106,30502,2.0361,3.4799005362835824e-16,376,26,11,26,13.869678,0.382119,0.505621,0.462679,1.748572,0.434467,27.431,7.932,29.4121,1.0722,0.2892
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,rotate,400,256,304395.8,305958,304730,62106,30502,2.0361,2.836449829081981e-16,370,38,0,38,13.67797,0.373597,0.508092,0.464791,2.225,0.43698,26.9203,6.1474,29.2745,1.0875,0.2284
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,rotate,400,256,303445.9,305958,305857,62028,30494,2.0341,3.1758579755019686e-16,380,27,12,27,13.947529,0.365391,0.504959,0.461975,1.620128,0.433581,27.6211,8.6089,29.504,1.0682,0.3117
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,rotate,400,256,303876.3,305958,305587,62106,30502,2.0361,2.552339082327365e-16,375,24,10,24,13.846254,0.368502,0.506933,0.463727,1.537704,0.437203,27.3138,9.0045,29.9977,1.0983,0.3297
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,rotate,400,138,304406,304406,304406,61516,30428,2.0217,2.905011715811546e-16,1,1,0,1,0.400827,0.39379,0.456999,0.440714,0.43299,0.419021,0.8771,0.9257,0.9567,1.0908,1.0554
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,drift,rotate,400,256,303321.3,305958,304666,62106,30502,2.0361,3.6133982397760654e-16,403,65,11,65,14.785022,0.377936,0.513703,0.46672,3.841827,0.435901,28.7813,3.8484,30.793,1.0699,0.1337
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,drift,rotate,400,256,303287.8,305958,303552,62106,30502,2.0361,3.262324758368774e-16,403,63,0,63,14.771953,0.396082,0.511058,0.464684,3.660571,0.436616,28.9047,4.0354,31.0198,1.0732,0.1396
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,drift,rotate,400,256,301993.4,305958,303863,62028,30494,2.0341,3.1758579755019686e-16,403,49,9,49,14.724338,0.388838,0.512491,0.46684,2.88204,0.436268,28.7309,5.109,30.9794,1.0783,0.1778
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,drift,rotate,400,256,303330.3,305958,304679,62106,30502,2.0361,2.3128558815491234e-16,403,69,14,69,14.775732,0.389966,0.516148,0.469164,4.201854,0.436843,28.6269,3.5165,30.6969,1.0723,0.1228
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,drift,rotate,400,138,304406,304406,304406,61516,30428,2.0217,2.645100820466541e-16,1,1,0,1,0.366278,0.358792,0.457226,0.440471,0.430839,0.417018,0.8011,0.8502,0.8885,1.1091,1.0612
