matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump_nnz,rotate,fast,400,256,305956.6,305958,305956,62106,30502,2.0361,3.4799005362835824e-16,381,380,605,380,14.294006,0.389033,0.580054,0.50446,51.855109,0.423987,24.6425,0.2757,21.3493,0.8664,0.0112
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,jump_nnz,rotate,fast,400,256,305956.7,305958,305956,62106,30502,2.0361,3.0766171841432227e-16,378,377,531,377,14.131337,0.389692,0.561436,0.487798,51.452302,0.405598,25.17,0.2746,20.602,0.8185,0.0109
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump_nnz,rotate,fast,400,256,305956.4,305958,305956,62028,30494,2.0341,3.1758579755019686e-16,389,389,493,389,14.565057,0.388946,0.563495,0.489604,50.553021,0.404739,25.8477,0.2881,20.6876,0.8004,0.0111
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump_nnz,rotate,fast,400,256,305956.1,305958,305956,62106,30502,2.0361,3.4799005362835824e-16,403,403,1556,403,15.076485,0.388836,0.591844,0.504883,61.220931,0.412477,25.4737,0.2463,19.8774,0.7803,0.0097
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump_nnz,rotate,fast,400,256,305956.1,305958,305956,62106,30502,2.0361,3.637365177530293e-16,403,403,1033,403,15.083779,0.389075,0.592034,0.509964,61.523461,0.411565,25.4779,0.2452,19.5471,0.7672,0.0096
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump_nnz,rotate,fast,400,256,305956.1,305958,305956,62028,30494,2.0341,3.1758579755019686e-16,403,403,639,403,15.09927,0.386065,0.592646,0.514247,59.340053,0.412992,25.4777,0.2545,19.5553,0.7675,0.01
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump_nnz,rotate,fast,400,256,305956.1,305958,305956,62106,30502,2.0361,3.4799005362835824e-16,403,403,1025,403,15.131712,0.399608,0.602626,0.523484,62.127422,0.413562,25.1096,0.2436,19.1998,0.7646,0.0097
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump_nnz,rotate,fast,400,256,305956.0,305958,305956,62106,30502,2.0361,1.5066786663055195e-16,403,403,137,403,15.102062,0.387588,0.596837,0.527352,60.509056,0.413801,25.3035,0.2496,18.9236,0.7479,0.0099
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump_nnz,rotate,fast,400,256,305956.0,305958,305956,62028,30494,2.0341,3.1758579755019686e-16,403,403,11,403,15.114335,0.394175,0.595688,0.528043,61.762135,0.415535,25.3729,0.2447,18.9998,0.7488,0.0096
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,jump_nnz,rotate,fast,400,256,194406.6,194408,194406,32124,7920,4.0561,1.1300788047341443e-16,385,371,499,371,8.715471,0.235642,0.406003,0.344565,27.595716,0.268495,21.4665,0.3158,17.275,0.8047,0.0147
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,jump_nnz,rotate,fast,400,256,194406.8,194408,194404,32190,7924,4.0623,1.6311741823669817e-16,391,380,325,380,8.828868,0.240441,0.416667,0.357111,29.356988,0.268503,21.1893,0.3007,17.0362,0.804,0.0142
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,jump_nnz,rotate,fast,400,256,194407.9,194408,194409,32181,7924,4.0612,2.2118887735188282e-16,396,384,230,384,8.954343,0.23351,0.416074,0.357995,29.116596,0.266739,21.521,0.3075,17.2086,0.7996,0.0143
