matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,rotate,fast,400,256,55459.9,305958,3353,62106,30502,2.0361,3.4799005362835824e-16,403,403,912,403,2.778652,0.091882,0.365482,0.303756,26.227029,0.25349,7.6027,0.1059,5.8807,0.7735,0.0139
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,jump,rotate,fast,400,256,51580.3,305958,3364,62106,30502,2.0361,2.320428132352585e-16,403,403,775,403,2.588174,0.094138,0.388191,0.326398,30.698843,0.269339,6.6673,0.0843,4.8981,0.7347,0.0126
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,rotate,fast,400,256,53461.1,305958,3188,62028,30494,2.0341,3.1758579755019686e-16,403,403,691,403,2.817861,0.111148,0.418953,0.357004,41.254688,0.293816,6.726,0.0683,4.8937,0.7276,0.0102
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,rotate,fast,400,256,17341.9,305958,3565,62106,30502,2.0361,3.4799005362835824e-16,403,403,1841,403,0.915809,0.040139,0.25038,0.186768,10.465844,0.131944,3.6577,0.0875,2.3232,0.6351,0.0239
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,rotate,fast,400,256,14281.0,305958,3174,62106,30502,2.0361,1.2401781380624111e-16,403,403,918,403,0.793456,0.041663,0.269944,0.213674,14.711198,0.155583,2.9393,0.0539,1.8353,0.6244,0.0183
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,rotate,fast,400,256,18785.7,305958,3270,62028,30494,2.0341,3.1758579755019686e-16,403,403,470,403,0.99745,0.044751,0.271807,0.220439,15.708042,0.150497,3.6697,0.0635,2.2944,0.6252,0.0173
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,rotate,fast,400,256,8262.2,305958,3255,62106,30502,2.0361,3.4799005362835824e-16,403,403,436,403,0.508168,0.029529,0.246558,0.198459,10.283199,0.134501,2.061,0.0494,1.2203,0.5921,0.024
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,rotate,fast,400,256,7170.9,305958,3170,62106,30502,2.0361,1.2401781380624111e-16,403,403,18,403,0.435849,0.024591,0.222337,0.180109,6.946899,0.114383,1.9603,0.0627,1.1507,0.587,0.032
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,jump,rotate,fast,400,256,6282.3,305958,33426,62028,30494,2.0341,3.1758579755019686e-16,403,403,1,403,0.393068,0.023053,0.214631,0.173483,5.559519,0.107467,1.8314,0.0707,1.0717,0.5852,0.0386
TSOPF_RS_b162_c3,15374,610299,8,0.01,17,jump,rotate,fast,400,256,48458.8,194408,14706,32124,7920,4.0561,1.0556056459727581e-16,403,403,752,403,2.375304,0.071387,0.388138,0.326802,34.866012,0.245016,6.1197,0.0681,4.6467,0.7593,0.0111
TSOPF_RS_b162_c3,15374,610299,8,0.01,18,jump,rotate,fast,400,256,50452.0,194408,7187,32190,7924,4.0623,1.6311741823669817e-16,403,403,372,403,2.460248,0.072058,0.323502,0.271253,24.835741,0.206102,7.605,0.0991,5.2758,0.6937,0.013
TSOPF_RS_b162_c3,15374,610299,8,0.01,19,jump,rotate,fast,400,256,41058.3,194408,6697,32181,7924,4.0612,1.2871383544192614e-16,403,403,216,403,2.02656,0.063484,0.323605,0.274262,25.773174,0.20246,6.2624,0.0786,4.3755,0.6987,0.0126
TSOPF_RS_b162_c3,15374,610299,8,0.05,17,jump,rotate,fast,400,256,16413.1,194408,22615,32124,7920,4.0561,6.922485113753605e-17,403,403,196,403,0.860068,0.035022,0.246913,0.202897,13.515976,0.144979,3.4833,0.0636,2.1625,0.6208,0.0183
TSOPF_RS_b162_c3,15374,610299,8,0.05,18,jump,rotate,fast,400,256,14158.0,194408,6641,32190,7924,4.0623,1.6311741823669817e-16,403,403,16,403,0.757597,0.033073,0.241788,0.201294,13.33004,0.144324,3.1333,0.0568,1.9284,0.6154,0.0181
TSOPF_RS_b162_c3,15374,610299,8,0.05,19,jump,rotate,fast,400,256,21134.0,194408,6941,32181,7924,4.0612,1.2871383544192614e-16,403,403,2,403,1.084342,0.041084,0.265006,0.223793,16.847253,0.161068,4.0918,0.0644,2.5745,0.6292,0.0157
TSOPF_RS_b162_c3,15374,610299,8,0.25,17,jump,rotate,fast,400,256,11592.8,194408,6827,32124,7920,4.0561,6.922485113753605e-17,403,403,0,403,0.638545,0.0301,0.244056,0.20438,13.629084,0.146127,2.6164,0.0469,1.5624,0.5972,0.0179
TSOPF_RS_b162_c3,15374,610299,8,0.25,18,jump,rotate,fast,400,256,11144.9,194408,6730,32190,7924,4.0623,1.6311741823669817e-16,403,403,0,403,0.616848,0.029944,0.237478,0.198208,12.607688,0.140455,2.5975,0.0489,1.5575,0.5996,0.0188
TSOPF_RS_b162_c3,15374,610299,8,0.25,19,jump,rotate,fast,400,256,11336.6,194408,7399,32181,7924,4.0612,1.2871383544192614e-16,403,403,0,403,0.627639,0.029537,0.248638,0.208723,14.264225,0.148175,2.5243,0.044,1.5266,0.6048,0.0174
TSOPF_RS_b300_c1,14538,1474325,8,0.01,17,jump,rotate,fast,400,256,122382.2,496944,38408,65771,7435,8.8461,1.2552458528866107e-16,403,403,735,403,5.804045,0.162152,0.690773,0.611593,78.151375,0.554008,8.4022,0.0743,7.3832,0.8787,0.0088
TSOPF_RS_b300_c1,14538,1474325,8,0.01,18,jump,rotate,fast,400,256,131850.4,496944,32174,65771,7435,8.8461,1.4717834420665808e-16,403,403,370,403,6.231484,0.171387,0.714923,0.647677,85.655493,0.586155,8.7163,0.0728,7.4808,0.8582,0.0083
TSOPF_RS_b300_c1,14538,1474325,8,0.01,19,jump,rotate,fast,400,256,106744.1,496944,16620,65771,7435,8.8461,1.118432963288558e-16,403,403,190,403,5.062479,0.140832,0.622777,0.563636,66.209602,0.500998,8.1289,0.0765,6.7567,0.8312,0.0094
TSOPF_RS_b300_c1,14538,1474325,8,0.05,17,jump,rotate,fast,400,256,49714.0,496944,33087,65771,7435,8.8461,1.0627529436039176e-16,403,403,178,403,2.415304,0.074139,0.484861,0.431121,48.699405,0.36502,4.9814,0.0496,3.7928,0.7614,0.01
TSOPF_RS_b300_c1,14538,1474325,8,0.05,18,jump,rotate,fast,400,256,51076.1,496944,30025,65771,7435,8.8461,1.4717834420665808e-16,403,403,11,403,2.478691,0.078527,0.488793,0.442095,51.272779,0.375085,5.071,0.0483,3.8885,0.7668,0.0095
TSOPF_RS_b300_c1,14538,1474325,8,0.05,19,jump,rotate,fast,400,256,56159.8,496944,31301,65771,7435,8.8461,1.118432963288558e-16,403,403,0,403,2.718184,0.086471,0.526181,0.478506,57.306522,0.406111,5.1659,0.0474,4.065,0.7869,0.0092
TSOPF_RS_b300_c1,14538,1474325,8,0.25,17,jump,rotate,fast,400,256,30302.1,496944,24080,65771,7435,8.8461,1.4966156953207728e-16,403,403,0,403,1.51272,0.052406,0.431537,0.386195,39.277743,0.31709,3.5054,0.0385,2.5674,0.7324,0.011
TSOPF_RS_b300_c1,14538,1474325,8,0.25,18,jump,rotate,fast,400,256,28936.8,496944,16622,65771,7435,8.8461,1.4717834420665808e-16,403,403,0,403,1.445569,0.050632,0.416674,0.371811,37.17188,0.305107,3.4693,0.0389,2.5147,0.7248,0.0112
TSOPF_RS_b300_c1,14538,1474325,8,0.25,19,jump,rotate,fast,400,256,30748.3,496944,18326,65771,7435,8.8461,1.118432963288558e-16,403,403,0,403,1.535403,0.052927,0.434059,0.388666,40.36694,0.32089,3.5373,0.038,2.5987,0.7346,0.0108
nasa2910,2910,174296,8,0.01,17,jump,rotate,fast,400,256,15873.7,17905,15162,6219,1090,5.7055,3.153931624208114e-16,403,399,296,399,0.867956,0.039037,0.262008,0.212675,8.220432,0.130603,3.3127,0.1056,2.4398,0.7365,0.0319
nasa2910,2910,174296,8,0.01,18,jump,rotate,fast,400,256,15393.0,16547,14908,4516,733,6.161,4.530725956094496e-16,403,402,6,402,0.84253,0.038157,0.251206,0.21239,8.502043,0.129716,3.3539,0.0991,2.3717,0.7072,0.0295
nasa2910,2910,174296,8,0.01,19,jump,rotate,fast,400,256,15963.7,18739,15041,5243,775,6.7652,2.774716345493723e-16,403,402,0,402,0.868225,0.037982,0.24926,0.210642,8.328537,0.128428,3.4832,0.1042,2.4566,0.7053,0.0299
nasa2910,2910,174296,8,0.05,17,jump,rotate,fast,400,256,15579.3,17905,15546,6219,1090,5.7055,3.153931624208114e-16,403,403,0,403,0.861489,0.038991,0.26578,0.227106,9.352182,0.136354,3.2414,0.0921,2.2924,0.7072,0.0284
nasa2910,2910,174296,8,0.05,18,jump,rotate,fast,400,256,15266.5,16547,14729,4516,733,6.161,4.530725956094496e-16,403,403,0,403,0.847974,0.039035,0.26561,0.226838,9.419025,0.137351,3.1926,0.09,2.2488,0.7044,0.0282
nasa2910,2910,174296,8,0.05,19,jump,rotate,fast,400,256,15313.5,18739,16176,5243,775,6.7652,2.774716345493723e-16,403,403,0,403,0.851491,0.039039,0.268552,0.230063,9.611924,0.139165,3.1707,0.0886,2.2381,0.7059,0.0279
nasa2910,2910,174296,8,0.25,17,jump,rotate,fast,400,256,15282.9,17905,15176,6219,1090,5.7055,3.153931624208114e-16,403,403,0,403,0.849823,0.039214,0.268398,0.230176,9.673055,0.139564,3.1663,0.0879,2.2138,0.6992,0.0277
