matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
bcspwr10,5300,21842,8,0.0,17,drift,rotate,fast,400,256,1101,1101,1101,6298,3622,1.7388,2.0113041419642553e-16,1,1,190,1,0.007387,0.00349,0.056559,0.04605,0.059743,0.049666,0.1306,0.1236,0.1586,1.2145,0.9467
bcspwr10,5300,21842,8,0.0,18,drift,rotate,fast,400,256,1153,1153,1153,6544,3653,1.7914,2.7543140383968946e-16,1,1,113,1,0.007121,0.00338,0.06006,0.04985,0.062362,0.052771,0.1186,0.1142,0.1471,1.2403,0.9631
bcspwr10,5300,21842,8,0.0,19,drift,rotate,fast,400,256,1129,1129,1129,5871,3393,1.7303,2.3917413512454545e-16,1,1,92,1,0.007,0.003271,0.055591,0.045441,0.057679,0.047624,0.1259,0.1214,0.1543,1.2258,0.9638
bcspwr10,5300,21842,8,0.01,17,drift,rotate,fast,400,256,1130.0,1101,1138,6298,3622,1.7388,1.680529624484628e-16,403,397,70,397,0.109254,0.00681,0.081888,0.053346,0.718154,0.061707,1.3342,0.1521,0.9289,0.6962,0.114
bcspwr10,5300,21842,8,0.01,18,drift,rotate,fast,400,256,1166.1,1153,1205,6544,3653,1.7914,1.9968920458897528e-16,403,401,41,401,0.112341,0.0071,0.085605,0.056999,0.784181,0.059445,1.3123,0.1433,0.9278,0.707,0.1092
bcspwr10,5300,21842,8,0.01,19,drift,rotate,fast,400,256,1135.5,1129,1128,5871,3393,1.7303,1.9311060690057195e-16,403,399,40,399,0.109033,0.006736,0.082165,0.053758,0.696635,0.058108,1.327,0.1565,0.9348,0.7045,0.1179
bcspwr10,5300,21842,8,0.25,17,drift,rotate,fast,400,256,1234.0,1101,1258,6298,3622,1.7388,2.3639387285567285e-16,403,403,68,403,0.120013,0.007983,0.088054,0.058863,0.80986,0.060157,1.3629,0.1482,0.9291,0.6817,0.1087
bcspwr10,5300,21842,8,0.25,18,drift,rotate,fast,400,256,1290.1,1153,1309,6544,3653,1.7914,2.008471001747218e-16,403,403,2,403,0.123737,0.007942,0.087419,0.05896,0.820861,0.05929,1.4154,0.1507,0.9628,0.6802,0.1065
bcspwr10,5300,21842,8,0.25,19,drift,rotate,fast,400,256,1189.8,1129,1186,5871,3393,1.7303,2.3251858746242215e-16,403,403,1,403,0.116387,0.007581,0.0856,0.05718,0.777302,0.059382,1.3597,0.1497,0.9216,0.6778,0.1101
scircuit,170998,958936,8,0.0,17,drift,rotate,fast,400,256,2342,2342,2342,3376,1855,1.8199,4.2843442093031307e-16,1,1,76,1,0.019163,0.009906,0.072853,0.050684,0.050522,0.030895,0.263,0.3793,0.3056,1.1619,1.442
scircuit,170998,958936,8,0.0,18,drift,rotate,fast,400,256,1478,1478,1478,1869,774,2.4147,2.5198463996224793e-16,1,1,65,1,0.016253,0.007077,0.051676,0.030255,0.036634,0.017648,0.3145,0.4437,0.3695,1.1748,1.4106
scircuit,170998,958936,8,0.0,19,drift,rotate,fast,400,256,3140,3140,3140,6769,3169,2.136,1.577216667406184e-16,1,1,154,1,0.024583,0.014974,0.107628,0.084393,0.078744,0.05813,0.2284,0.3122,0.2623,1.1485,1.3668
scircuit,170998,958936,8,0.01,17,drift,rotate,fast,400,256,2536.4,2342,2400,3376,1855,1.8199,4.2843442093031307e-16,403,260,76,260,0.225217,0.014368,0.113413,0.070625,0.362936,0.043576,1.9858,0.6205,1.1848,0.5966,0.3125
scircuit,170998,958936,8,0.01,18,drift,rotate,fast,400,256,1450.2,1478,1454,1869,774,2.4147,2.7307996964648914e-16,403,161,37,161,0.150018,0.008336,0.073518,0.04055,0.133587,0.025869,2.0406,1.123,1.8309,0.8973,0.5503
scircuit,170998,958936,8,0.01,19,drift,rotate,fast,400,256,2982.5,3140,2914,6769,3169,2.136,2.3176568066012734e-16,403,337,99,337,0.253502,0.017492,0.132319,0.085533,0.700248,0.05937,1.9158,0.362,1.4867,0.776,0.189
scircuit,170998,958936,8,0.25,17,drift,rotate,fast,400,256,3349.8,2342,2837,3376,1855,1.8199,5.376366207778909e-16,403,403,1695,403,0.275884,0.019917,0.170312,0.104483,0.996454,0.07001,1.6199,0.2769,1.1405,0.7041,0.1709
scircuit,170998,958936,8,0.25,18,drift,rotate,fast,400,256,1639.4,1478,1639,1869,774,2.4147,2.4997349521231137e-16,403,403,260,403,0.164397,0.00984,0.099867,0.054172,0.42136,0.032599,1.6462,0.3902,1.1087,0.6735,0.237
scircuit,170998,958936,8,0.25,19,drift,rotate,fast,400,256,3090.2,3140,2705,6769,3169,2.136,2.221364805737231e-16,403,403,724,403,0.262386,0.017803,0.155086,0.097713,0.924518,0.062379,1.6919,0.2838,1.1642,0.6881,0.1677
ct20stif,52329,2600295,8,0.0,17,drift,rotate,fast,400,256,15163,15163,15163,5557,1371,4.0532,7.566626045264742e-16,1,1,52,1,0.02513,0.019793,0.067106,0.053347,0.056208,0.043137,0.3745,0.4471,0.4135,1.1041,1.1939
ct20stif,52329,2600295,8,0.0,18,drift,rotate,fast,400,256,10286,10286,10286,3050,708,4.3079,4.145027937964978e-16,1,1,39,1,0.018989,0.013544,0.045178,0.031157,0.037685,0.024717,0.4203,0.5039,0.4676,1.1125,1.1988
