matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
bcspwr10,5300,21842,8,0.0,17,drift,rotate,python,400,256,1101,1101,1101,6298,3622,1.7388,2.0113041419642553e-16,1,1,190,1,0.00839,0.00373,0.105455,0.046645,0.108846,0.050612,0.0796,0.0771,0.088,1.1057,0.9688
bcspwr10,5300,21842,8,0.0,18,drift,rotate,python,400,256,1153,1153,1153,6544,3653,1.7914,2.7543140383968946e-16,1,1,113,1,0.008259,0.003712,0.107038,0.049012,0.109872,0.052314,0.0772,0.0752,0.0851,1.1027,0.9742
bcspwr10,5300,21842,8,0.0,19,drift,rotate,python,400,256,1129,1129,1129,5871,3393,1.7303,2.3917413512454545e-16,1,1,92,1,0.007859,0.003397,0.101613,0.045039,0.103671,0.047405,0.0773,0.0758,0.0847,1.0953,0.9801
bcspwr10,5300,21842,8,0.01,17,drift,rotate,python,400,256,1130.0,1101,1138,6298,3622,1.7388,1.680529624484628e-16,403,397,70,397,0.1107,0.006873,0.134683,0.051923,0.764524,0.057053,0.8219,0.1448,0.6611,0.8043,0.1762
bcspwr10,5300,21842,8,0.01,18,drift,rotate,python,400,256,1166.1,1153,1205,6544,3653,1.7914,1.9968920458897528e-16,403,401,41,401,0.113651,0.007094,0.13637,0.055246,0.826579,0.057544,0.8334,0.1375,0.6677,0.8012,0.165
bcspwr10,5300,21842,8,0.01,19,drift,rotate,python,400,256,1135.5,1129,1128,5871,3393,1.7303,1.9311060690057195e-16,403,399,40,399,0.110495,0.006764,0.131472,0.051938,0.747003,0.055344,0.8404,0.1479,0.6666,0.7931,0.176
bcspwr10,5300,21842,8,0.25,17,drift,rotate,python,400,256,1234.0,1101,1258,6298,3622,1.7388,2.3639387285567285e-16,403,403,68,403,0.121703,0.007999,0.139279,0.057152,0.851444,0.058105,0.8738,0.1429,0.6788,0.7768,0.1636
bcspwr10,5300,21842,8,0.25,18,drift,rotate,python,400,256,1290.1,1153,1309,6544,3653,1.7914,2.008471001747218e-16,403,403,2,403,0.125206,0.008028,0.13912,0.057296,0.864004,0.0579,0.9,0.1449,0.6987,0.7763,0.161
bcspwr10,5300,21842,8,0.25,19,drift,rotate,python,400,256,1189.8,1129,1186,5871,3393,1.7303,2.3251858746242215e-16,403,403,1,403,0.118369,0.007601,0.135944,0.055739,0.821664,0.056599,0.8707,0.1441,0.675,0.7752,0.1654
scircuit,170998,958936,8,0.0,17,drift,rotate,python,400,256,2342,2342,2342,3376,1855,1.8199,4.2843442093031307e-16,1,1,76,1,0.022194,0.010215,0.116726,0.048902,0.095296,0.031368,0.1901,0.2329,0.2151,1.1315,1.2249
scircuit,170998,958936,8,0.0,18,drift,rotate,python,400,256,1478,1478,1478,1869,774,2.4147,2.5198463996224793e-16,1,1,65,1,0.018302,0.006927,0.093505,0.028318,0.07977,0.017782,0.1957,0.2294,0.2163,1.1049,1.1722
scircuit,170998,958936,8,0.0,19,drift,rotate,python,400,256,3140,3140,3140,6769,3169,2.136,1.577216667406184e-16,1,1,154,1,0.027422,0.01537,0.161358,0.083063,0.131608,0.057994,0.1699,0.2084,0.1876,1.1041,1.2261
scircuit,170998,958936,8,0.01,17,drift,rotate,python,400,256,2536.4,2342,2400,3376,1855,1.8199,4.2843442093031307e-16,403,260,76,260,0.221894,0.01374,0.157892,0.066486,0.405105,0.043264,1.4054,0.5477,0.9687,0.6893,0.3898
scircuit,170998,958936,8,0.01,18,drift,rotate,python,400,256,1450.2,1478,1454,1869,774,2.4147,2.7307996964648914e-16,403,161,37,161,0.153908,0.008065,0.118157,0.040416,0.175318,0.025396,1.3026,0.8779,1.2355,0.9485,0.674
scircuit,170998,958936,8,0.01,19,drift,rotate,python,400,256,2982.5,3140,2914,6769,3169,2.136,2.3176568066012734e-16,403,337,99,337,0.255638,0.017144,0.183123,0.083108,0.743877,0.059073,1.396,0.3437,1.1687,0.8372,0.2462
scircuit,170998,958936,8,0.25,17,drift,rotate,python,400,256,3349.8,2342,2837,3376,1855,1.8199,5.376366207778909e-16,403,403,1695,403,0.280681,0.019901,0.226122,0.103069,1.041084,0.07005,1.2413,0.2696,0.9325,0.7512,0.2172
scircuit,170998,958936,8,0.25,18,drift,rotate,python,400,256,1639.4,1478,1639,1869,774,2.4147,2.4997349521231137e-16,403,403,260,403,0.166444,0.009855,0.1459,0.055033,0.462709,0.032287,1.1408,0.3597,0.8679,0.7608,0.3153
scircuit,170998,958936,8,0.25,19,drift,rotate,python,400,256,3090.2,3140,2705,6769,3169,2.136,2.221364805737231e-16,403,403,724,403,0.26433,0.017605,0.205029,0.094713,0.958947,0.061156,1.2892,0.2756,0.9563,0.7418,0.2138
ct20stif,52329,2600295,8,0.0,17,drift,rotate,python,400,256,15163,15163,15163,5557,1371,4.0532,7.566626045264742e-16,1,1,52,1,0.037903,0.026038,0.151742,0.066807,0.136267,0.053178,0.2498,0.2782,0.2743,1.0981,1.1136
ct20stif,52329,2600295,8,0.0,18,drift,rotate,python,400,256,10286,10286,10286,3050,708,4.3079,4.145027937964978e-16,1,1,39,1,0.031092,0.018485,0.119403,0.038273,0.110318,0.030444,0.2604,0.2818,0.2841,1.0909,1.0824
ct20stif,52329,2600295,8,0.0,19,drift,rotate,python,400,256,12619,12619,12619,3944,1065,3.7033,6.374068419303422e-16,1,1,43,1,0.035057,0.021708,0.129075,0.047683,0.119792,0.039405,0.2716,0.2926,0.2921,1.0753,1.0775
ct20stif,52329,2600295,8,0.01,17,drift,rotate,python,400,256,16169.1,15163,16919,5557,1371,4.0532,7.566626045264742e-16,403,170,62,170,1.03384,0.03312,0.217087,0.10753,1.103281,0.080093,4.7623,0.9371,4.5015,0.9452,0.1968
ct20stif,52329,2600295,8,0.01,18,drift,rotate,python,400,256,10614.7,10286,10485,3050,708,4.3079,3.03624262174433e-16,403,58,21,58,0.528786,0.016136,0.114579,0.050606,0.188658,0.034678,4.615,2.8029,5.1017,1.1055,0.6073
ct20stif,52329,2600295,8,0.01,19,drift,rotate,python,400,256,12487.7,12619,11542,3944,1065,3.7033,6.374068419303422e-16,403,144,63,144,0.620374,0.019673,0.13204,0.064088,0.524556,0.047989,4.6984,1.1827,4.6081,0.9808,0.2517
ct20stif,52329,2600295,8,0.25,17,drift,rotate,python,400,256,15611.2,15163,15716,5557,1371,4.0532,7.566626045264742e-16,403,403,861,403,0.803618,0.026537,0.205325,0.096149,2.176402,0.068268,3.9139,0.3692,3.4793,0.889,0.0943
ct20stif,52329,2600295,8,0.25,18,drift,rotate,python,400,256,12966.7,10286,12648,3050,708,4.3079,4.649830920127655e-16,403,403,284,403,0.645472,0.022857,0.149425,0.069153,1.355762,0.048151,4.3197,0.4761,3.7123,0.8594,0.1102
ct20stif,52329,2600295,8,0.25,19,drift,rotate,python,400,256,15043.7,12619,15901,3944,1065,3.7033,6.374068419303422e-16,403,403,184,403,0.771111,0.025271,0.172418,0.088996,1.920298,0.062683,4.4723,0.4016,3.6794,0.8227,0.0898
add32,4960,19848,8,0.0,17,drift,rotate,python,400,256,1073,1073,1073,1185,595,1.9916,3.202833525042235e-16,1,1,54,1,0.01238,0.003965,0.094084,0.017964,0.088726,0.014032,0.1316,0.1395,0.1414,1.0749,1.0604
add32,4960,19848,8,0.0,18,drift,rotate,python,400,256,1081,1081,1081,1114,531,2.0979,3.2398121539099444e-16,1,1,53,1,0.012044,0.00372,0.096461,0.016712,0.092125,0.013176,0.1249,0.1307,0.1356,1.0858,1.0471
add32,4960,19848,8,0.0,19,drift,rotate,python,400,256,1040,1040,1040,864,390,2.2154,2.510467134857301e-16,1,1,43,1,0.016715,0.006642,0.123849,0.021494,0.1175,0.016982,0.135,0.1423,0.1443,1.0691,1.054
add32,4960,19848,8,0.01,17,drift,rotate,python,400,256,1107.0,1073,1122,1185,595,1.9916,3.202833525042235e-16,403,48,8,48,0.140068,0.006286,0.114284,0.029143,0.12165,0.02154,1.2256,1.1514,1.358,1.108,0.9394
add32,4960,19848,8,0.01,18,drift,rotate,python,400,256,1117.1,1081,1154,1114,531,2.0979,2.5260459069298267e-16,403,55,16,55,0.139037,0.006255,0.116249,0.027473,0.125804,0.021208,1.196,1.1052,1.3094,1.0948,0.924
add32,4960,19848,8,0.01,19,drift,rotate,python,400,256,1085.5,1040,1109,864,390,2.2154,1.8914480078541218e-16,403,30,11,30,0.136286,0.005829,0.111772,0.024387,0.110332,0.01913,1.2193,1.2352,1.3884,1.1387,1.0131
add32,4960,19848,8,0.25,17,drift,rotate,python,400,256,1169.9,1073,1160,1185,595,1.9916,3.4369662319230266e-16,403,401,60,401,0.142812,0.008091,0.132743,0.035547,0.370184,0.030264,1.0759,0.3858,0.8374,0.7783,0.3586
add32,4960,19848,8,0.25,18,drift,rotate,python,400,256,1180.1,1081,1204,1114,531,2.0979,2.2643888610956806e-16,403,398,50,398,0.143166,0.008229,0.13969,0.037209,0.40036,0.032882,1.0249,0.3576,0.8021,0.7826,0.3489
add32,4960,19848,8,0.25,19,drift,rotate,python,400,256,1154.6,1040,1196,864,390,2.2154,2.4160345755979353e-16,403,388,33,388,0.140796,0.00745,0.13452,0.03213,0.314997,0.02665,1.0467,0.447,0.8353,0.7981,0.4271
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,rotate,python,400,256,305958,305958,305958,62106,30502,2.0361,3.4799005362835824e-16,1,1,35,1,0.475927,0.461884,0.657036,0.576233,0.601553,0.523691,0.7244,0.7912,0.7817,1.0791,1.0922
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,rotate,python,400,256,305958,305958,305958,62106,30502,2.0361,1.9892750543703998e-16,1,1,22,1,0.475697,0.461344,0.659322,0.577038,0.60443,0.524259,0.7215,0.787,0.7843,1.087,1.0908
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,rotate,python,400,256,305958,305958,305958,62028,30494,2.0341,3.372190252722962e-16,1,1,20,1,0.47649,0.462602,0.656726,0.576508,0.601541,0.524483,0.7256,0.7921,0.7895,1.0882,1.0917
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,drift,rotate,python,400,256,303321.3,305958,304666,62106,30502,2.0361,3.6133982397760654e-16,403,65,24,65,15.903806,0.433458,0.604228,0.508984,4.284688,0.458866,26.3209,3.7118,26.973,1.0248,0.141
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,drift,rotate,python,400,256,303287.8,305958,303552,62106,30502,2.0361,3.262324758368774e-16,403,63,22,63,14.807915,0.39969,0.556691,0.472533,3.669488,0.438755,26.5999,4.0354,27.308,1.0266,0.1517
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,drift,rotate,python,400,256,301993.4,305958,303863,62028,30494,2.0341,3.1758579755019686e-16,403,49,20,49,14.724397,0.397693,0.552823,0.471801,2.880043,0.43689,26.6349,5.1126,27.4308,1.0299,0.1919
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,rotate,python,400,256,305297.7,305958,306351,62106,30502,2.0361,3.4799005362835824e-16,403,341,55,341,14.962507,0.405848,0.531958,0.436026,22.379344,0.37607,28.1272,0.6686,23.6863,0.8421,0.0238
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,drift,rotate,python,400,256,304833.6,305958,307008,62106,30502,2.0361,1.979365084008007e-16,403,397,78,397,14.905307,0.404563,0.535584,0.436824,27.417225,0.37466,27.83,0.5436,22.6626,0.8143,0.0195
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,drift,rotate,python,400,256,305693.5,305958,306282,62028,30494,2.0341,3.1758579755019686e-16,403,180,26,180,14.883752,0.403875,0.514493,0.427362,10.708295,0.362636,28.929,1.3899,26.6286,0.9205,0.048
