matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,25,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,50,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,75,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,100,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,125,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,150,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,175,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,drift,0.5,200,199,True,256,30502,62106,30502,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,25,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,50,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,75,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,100,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,125,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,150,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,175,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,drift,0.5,200,199,True,256,30502,62106,30502,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,0,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,25,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,50,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,75,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,100,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,125,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,150,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,175,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,drift,0.5,200,199,True,256,30494,62028,30494,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,25,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,50,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,75,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,100,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,125,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,150,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,175,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,drift,0.5,200,199,True,256,30502,62106,30502,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,0,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,25,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,50,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,75,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,100,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,125,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,150,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,175,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,drift,0.5,200,199,True,138,30428,61516,30428,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,25,False,256,30532,62256,,2.039
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,50,False,256,30532,62256,,2.039
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,75,False,256,30526,62256,,2.0394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,100,False,256,30534,62302,,2.0404
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,125,False,256,30526,62256,,2.0394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,150,False,256,30526,62288,,2.0405
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,175,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,199,True,256,30534,62334,30534,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,25,False,256,30518,62220,,2.0388
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,50,False,256,30466,61912,,2.0322
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,75,False,256,30550,62390,,2.0422
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,100,False,256,30558,62394,,2.0418
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,125,False,256,30556,62416,,2.0427
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,150,False,256,30558,62430,,2.043
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,175,False,256,30558,62494,,2.0451
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,drift,0.5,200,199,True,256,30558,62526,30558,2.0461
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,0,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,25,False,256,30518,62188,,2.0377
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,50,False,256,30518,62252,,2.0398
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,75,False,256,30526,62266,,2.0398
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,100,False,256,30526,62266,,2.0398
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,125,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,150,False,256,30548,62380,,2.042
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,175,False,256,30482,61990,,2.0337
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,drift,0.5,200,199,True,256,30482,61990,30482,2.0337
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,25,False,256,30510,62184,,2.0382
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,50,False,256,30532,62266,,2.0394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,75,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,100,False,256,30532,62298,,2.0404
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,125,False,256,30532,62298,,2.0404
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,150,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,175,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,drift,0.5,200,199,True,256,30550,62426,30550,2.0434
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,0,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,25,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,50,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,75,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,100,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,125,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,drift,0.5,200,150,False,138,30428,61516,,2.0217
