matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,25,False,256,30532,62256,,2.039
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,50,False,256,30532,62256,,2.039
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,75,False,256,30526,62256,,2.0394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,100,False,256,30534,62302,,2.0404
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,125,False,256,30526,62256,,2.0394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,150,False,256,30526,62288,,2.0405
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,175,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,drift,0.5,200,199,True,256,30534,62334,30534,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,25,False,256,30524,62188,,2.0373
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,50,False,256,30534,62298,,2.0403
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,75,False,256,30534,62334,,2.0415
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,100,False,256,30542,62444,,2.0445
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,125,False,256,30542,62444,,2.0445
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,150,False,256,30542,62412,,2.0435
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,175,False,256,30542,62366,,2.042
TSOPF_RS_b39_c30,60098,1079986,8,0.002,117,drift,0.5,200,199,True,256,30542,62398,30542,2.043
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,25,False,256,30518,62198,,2.0381
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,50,False,256,30518,62230,,2.0391
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,75,False,256,30526,62266,,2.0398
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,100,False,256,30526,62298,,2.0408
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,125,False,256,30460,61944,,2.0336
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,150,False,256,30540,62376,,2.0424
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,175,False,256,30540,62376,,2.0424
TSOPF_RS_b39_c30,60098,1079986,8,0.002,217,drift,0.5,200,199,True,256,30540,62376,30540,2.0424
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,drift,0.5,200,25,False,256,30534,62366,,2.0425
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,drift,0.5,200,50,False,256,30534,62366,,2.0425
