rows_per_block,rows_merged,merge,matrix,rho,seed,motion,steps
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,17,drift,400
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,18,drift,400
62028,30494,2.0341050698498067,TSOPF_RS_b39_c30,0.0,19,drift,400
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,20,drift,400
61516,30428,2.0216905481793086,TSOPF_RS_b39_c30,0.0,21,drift,400
62240,30508,2.040120624098597,TSOPF_RS_b39_c30,0.002,17,drift,400
62548,30566,2.0463259831184977,TSOPF_RS_b39_c30,0.002,18,drift,400
62318,30508,2.042677330536253,TSOPF_RS_b39_c30,0.002,19,drift,400
62218,30506,2.0395332065823117,TSOPF_RS_b39_c30,0.002,20,drift,400
61516,30428,2.0216905481793086,TSOPF_RS_b39_c30,0.002,21,drift,400
62836,30582,2.054672683277745,TSOPF_RS_b39_c30,0.01,17,drift,400
62860,30590,2.054919908466819,TSOPF_RS_b39_c30,0.01,18,drift,400
63120,30622,2.0612631441447324,TSOPF_RS_b39_c30,0.01,19,drift,400
63046,30614,2.0593845952832037,TSOPF_RS_b39_c30,0.01,20,drift,400
61516,30428,2.0216905481793086,TSOPF_RS_b39_c30,0.01,21,drift,400
63600,30718,2.0704472947457515,TSOPF_RS_b39_c30,0.05,17,drift,400
63444,30670,2.0686012389957615,TSOPF_RS_b39_c30,0.05,18,drift,400
63327,30652,2.0659989560224457,TSOPF_RS_b39_c30,0.05,19,drift,400
63218,30642,2.0631159845963056,TSOPF_RS_b39_c30,0.05,20,drift,400
61666,30444,2.0255551175929574,TSOPF_RS_b39_c30,0.05,21,drift,400
62256,30508,2.040645076701193,TSOPF_RS_b39_c30,0.25,17,drift,400
62854,30580,2.0553956834532374,TSOPF_RS_b39_c30,0.25,18,drift,400
62942,30582,2.0581387744424826,TSOPF_RS_b39_c30,0.25,19,drift,400
62641,30554,2.0501734633763173,TSOPF_RS_b39_c30,0.25,20,drift,400
62589,30614,2.0444567844776897,TSOPF_RS_b39_c30,0.25,21,drift,400
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,17,jump,400
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,18,jump,400
62028,30494,2.0341050698498067,TSOPF_RS_b39_c30,0.0,19,jump,400
62106,30502,2.036128778440758,TSOPF_RS_b39_c30,0.0,20,jump,400
61516,30428,2.0216905481793086,TSOPF_RS_b39_c30,0.0,21,jump,400
38990,33414,1.1668761596935415,TSOPF_RS_b39_c30,0.002,17,jump,400
68915,33442,2.060732013635548,TSOPF_RS_b39_c30,0.002,18,jump,400
68983,33460,2.061655708308428,TSOPF_RS_b39_c30,0.002,19,jump,400
68490,33402,2.050476019400036,TSOPF_RS_b39_c30,0.002,20,jump,400
61516,30428,2.0216905481793086,TSOPF_RS_b39_c30,0.002,21,jump,400
9901,9265,1.068645439827307,TSOPF_RS_b39_c30,0.01,17,jump,400
9295,8757,1.0614365650336874,TSOPF_RS_b39_c30,0.01,18,jump,400
9207,8473,1.086628112828986,TSOPF_RS_b39_c30,0.01,19,jump,400
39294,33784,1.1630949561922803,TSOPF_RS_b39_c30,0.01,20,jump,400
35408,32313,1.0957818834524804,TSOPF_RS_b39_c30,0.01,21,jump,400
9146,8648,1.0575855689176688,TSOPF_RS_b39_c30,0.05,17,jump,400
9342,8830,1.0579841449603624,TSOPF_RS_b39_c30,0.05,18,jump,400
9288,8798,1.0556944760172766,TSOPF_RS_b39_c30,0.05,19,jump,400
9336,8700,1.0731034482758621,TSOPF_RS_b39_c30,0.05,20,jump,400
5208,4952,1.0516962843295639,TSOPF_RS_b39_c30,0.05,21,jump,400
9070,8742,1.037520018302448,TSOPF_RS_b39_c30,0.25,17,jump,400
9408,8844,1.0637720488466758,TSOPF_RS_b39_c30,0.25,18,jump,400
9300,8744,1.0635864592863677,TSOPF_RS_b39_c30,0.25,19,jump,400
9288,8652,1.073509015256588,TSOPF_RS_b39_c30,0.25,20,jump,400
4900,4746,1.0324483775811208,TSOPF_RS_b39_c30,0.25,21,jump,400
32124,7920,4.056060606060606,TSOPF_RS_b162_c3,0.0,17,drift,400
32190,7924,4.062342251388188,TSOPF_RS_b162_c3,0.0,18,drift,400
32181,7924,4.06120646138314,TSOPF_RS_b162_c3,0.0,19,drift,400
32124,7920,4.056060606060606,TSOPF_RS_b162_c3,0.0,20,drift,400
32275,7926,4.072041382790815,TSOPF_RS_b162_c3,0.0,21,drift,400
34160,8148,4.1924398625429555,TSOPF_RS_b162_c3,0.002,17,drift,400
33744,8127,4.1520856404577335,TSOPF_RS_b162_c3,0.002,18,drift,400
33849,8113,4.172192777024528,TSOPF_RS_b162_c3,0.002,19,drift,400
34090,8139,4.188475242658804,TSOPF_RS_b162_c3,0.002,20,drift,400
34490,8198,4.207123688704562,TSOPF_RS_b162_c3,0.002,21,drift,400
34030,8164,4.168299853013229,TSOPF_RS_b162_c3,0.01,17,drift,400
34125,8185,4.1692119731215636,TSOPF_RS_b162_c3,0.01,18,drift,400
34038,8169,4.166727873668748,TSOPF_RS_b162_c3,0.01,19,drift,400
33656,8160,4.124509803921568,TSOPF_RS_b162_c3,0.01,20,drift,400
34641,8231,4.208601627991738,TSOPF_RS_b162_c3,0.01,21,drift,400
34072,8181,4.164772032758831,TSOPF_RS_b162_c3,0.05,17,drift,400
33574,8121,4.134219923654722,TSOPF_RS_b162_c3,0.05,18,drift,400
34905,8296,4.2074493731919,TSOPF_RS_b162_c3,0.05,19,drift,400
34030,8147,4.176997667853198,TSOPF_RS_b162_c3,0.05,20,drift,400
34300,8212,4.176814417924988,TSOPF_RS_b162_c3,0.05,21,drift,400
9406,7874,1.1945643891287783,TSOPF_RS_b162_c3,0.25,17,drift,400
9406,7874,1.1945643891287783,TSOPF_RS_b162_c3,0.25,18,drift,400
9406,7874,1.1945643891287783,TSOPF_RS_b162_c3,0.25,19,drift,400
9406,7874,1.1945643891287783,TSOPF_RS_b162_c3,0.25,20,drift,400
33463,8075,4.144024767801858,TSOPF_RS_b162_c3,0.25,21,drift,400
32124,7920,4.056060606060606,TSOPF_RS_b162_c3,0.0,17,jump,400
32190,7924,4.062342251388188,TSOPF_RS_b162_c3,0.0,18,jump,400
32181,7924,4.06120646138314,TSOPF_RS_b162_c3,0.0,19,jump,400
32124,7920,4.056060606060606,TSOPF_RS_b162_c3,0.0,20,jump,400
32275,7926,4.072041382790815,TSOPF_RS_b162_c3,0.0,21,jump,400
41065,10424,3.939466615502686,TSOPF_RS_b162_c3,0.002,17,jump,400
41602,10579,3.9325077984686643,TSOPF_RS_b162_c3,0.002,18,jump,400
41290,10423,3.9614314496785954,TSOPF_RS_b162_c3,0.002,19,jump,400
33612,10401,3.23161234496683,TSOPF_RS_b162_c3,0.002,20,jump,400
41675,10514,3.963762602244626,TSOPF_RS_b162_c3,0.002,21,jump,400
13265,9097,1.4581730240738706,TSOPF_RS_b162_c3,0.01,17,jump,400
35212,10801,3.2600685121747985,TSOPF_RS_b162_c3,0.01,18,jump,400
12373,8455,1.4633944411590776,TSOPF_RS_b162_c3,0.01,19,jump,400
27265,10827,2.5182414334534036,TSOPF_RS_b162_c3,0.01,20,jump,400
12609,8725,1.4451575931232092,TSOPF_RS_b162_c3,0.01,21,jump,400
12494,8248,1.5147914645974783,TSOPF_RS_b162_c3,0.05,17,jump,400
13081,8713,1.5013198668656031,TSOPF_RS_b162_c3,0.05,18,jump,400
12851,8736,1.4710393772893773,TSOPF_RS_b162_c3,0.05,19,jump,400
12543,8774,1.4295646227490313,TSOPF_RS_b162_c3,0.05,20,jump,400
12419,8554,1.4518353986439092,TSOPF_RS_b162_c3,0.05,21,jump,400
19514,10833,1.8013477337764239,TSOPF_RS_b162_c3,0.25,17,jump,400
19808,10729,1.8462112032808278,TSOPF_RS_b162_c3,0.25,18,jump,400
19672,10659,1.8455765081152078,TSOPF_RS_b162_c3,0.25,19,jump,400
26987,10771,2.5055240924705227,TSOPF_RS_b162_c3,0.25,20,jump,400
12551,8620,1.456032482598608,TSOPF_RS_b162_c3,0.25,21,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,17,drift,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,18,drift,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,19,drift,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,20,drift,400
66400,7314,9.078479628110474,TSOPF_RS_b300_c1,0.0,21,drift,400
63298,7970,7.942032622333752,TSOPF_RS_b300_c1,0.002,17,drift,400
71575,8006,8.940169872595554,TSOPF_RS_b300_c1,0.002,18,drift,400
71247,8070,8.828624535315985,TSOPF_RS_b300_c1,0.002,19,drift,400
70776,8044,8.79860765788165,TSOPF_RS_b300_c1,0.002,20,drift,400
71377,7986,8.937766090658652,TSOPF_RS_b300_c1,0.002,21,drift,400
60781,7863,7.730001271779219,TSOPF_RS_b300_c1,0.01,17,drift,400
45423,7741,5.867846531455884,TSOPF_RS_b300_c1,0.01,18,drift,400
46459,7818,5.942568431823996,TSOPF_RS_b300_c1,0.01,19,drift,400
45945,7839,5.861079219288174,TSOPF_RS_b300_c1,0.01,20,drift,400
67792,7958,8.518723297310881,TSOPF_RS_b300_c1,0.01,21,drift,400
3078,738,4.170731707317073,TSOPF_RS_b300_c1,0.05,17,drift,400
2901,713,4.068723702664797,TSOPF_RS_b300_c1,0.05,18,drift,400
3086,734,4.204359673024523,TSOPF_RS_b300_c1,0.05,19,drift,400
2749,694,3.9610951008645534,TSOPF_RS_b300_c1,0.05,20,drift,400
2876,729,3.945130315500686,TSOPF_RS_b300_c1,0.05,21,drift,400
2894,706,4.09915014164306,TSOPF_RS_b300_c1,0.25,17,drift,400
67854,7888,8.602180527383368,TSOPF_RS_b300_c1,0.25,18,drift,400
2970,718,4.1364902506963785,TSOPF_RS_b300_c1,0.25,19,drift,400
68632,7670,8.948109517601043,TSOPF_RS_b300_c1,0.25,20,drift,400
2959,730,4.053424657534246,TSOPF_RS_b300_c1,0.25,21,drift,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,17,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,18,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,19,jump,400
65771,7435,8.846133154001345,TSOPF_RS_b300_c1,0.0,20,jump,400
66400,7314,9.078479628110474,TSOPF_RS_b300_c1,0.0,21,jump,400
82357,9916,8.305465913674869,TSOPF_RS_b300_c1,0.002,17,jump,400
82962,10137,8.18407812962415,TSOPF_RS_b300_c1,0.002,18,jump,400
82072,9924,8.270052398226522,TSOPF_RS_b300_c1,0.002,19,jump,400
75129,9911,7.580365250731511,TSOPF_RS_b300_c1,0.002,20,jump,400
71202,9866,7.216906547739712,TSOPF_RS_b300_c1,0.002,21,jump,400
43639,10331,4.224082857419417,TSOPF_RS_b300_c1,0.01,17,jump,400
43070,10360,4.1573359073359075,TSOPF_RS_b300_c1,0.01,18,jump,400
35146,10318,3.4062802868773017,TSOPF_RS_b300_c1,0.01,19,jump,400
36276,10326,3.5130737943056363,TSOPF_RS_b300_c1,0.01,20,jump,400
29324,10153,2.8882103811681277,TSOPF_RS_b300_c1,0.01,21,jump,400
28262,10176,2.7773191823899372,TSOPF_RS_b300_c1,0.05,17,jump,400
43968,10265,4.2832927423283005,TSOPF_RS_b300_c1,0.05,18,jump,400
42554,10218,4.164611469954981,TSOPF_RS_b300_c1,0.05,19,jump,400
22587,9777,2.3102178582387234,TSOPF_RS_b300_c1,0.05,20,jump,400
35184,10167,3.460607848922986,TSOPF_RS_b300_c1,0.05,21,jump,400
20979,9563,2.1937676461361497,TSOPF_RS_b300_c1,0.25,17,jump,400
22272,9786,2.2759043531575722,TSOPF_RS_b300_c1,0.25,18,jump,400
34809,10228,3.403304653891279,TSOPF_RS_b300_c1,0.25,19,jump,400
35363,10335,3.421673923560716,TSOPF_RS_b300_c1,0.25,20,jump,400
21700,9583,2.264426588750913,TSOPF_RS_b300_c1,0.25,21,jump,400
6219,1090,5.705504587155963,nasa2910,0.0,17,drift,400
4516,733,6.1609822646657575,nasa2910,0.0,18,drift,400
5243,775,6.765161290322581,nasa2910,0.0,19,drift,400
4516,733,6.1609822646657575,nasa2910,0.0,20,drift,400
5023,673,7.463595839524517,nasa2910,0.0,21,drift,400
10325,1762,5.859818388195233,nasa2910,0.002,17,drift,400
9636,1923,5.0109204368174725,nasa2910,0.002,18,drift,400
8512,1173,7.256606990622336,nasa2910,0.002,19,drift,400
7632,1570,4.861146496815286,nasa2910,0.002,20,drift,400
6055,700,8.65,nasa2910,0.002,21,drift,400
10370,1716,6.043123543123543,nasa2910,0.01,17,drift,400
10080,2018,4.995044598612488,nasa2910,0.01,18,drift,400
5496,960,5.725,nasa2910,0.01,19,drift,400
9672,2012,4.807157057654075,nasa2910,0.01,20,drift,400
5696,971,5.866117404737384,nasa2910,0.01,21,drift,400
