matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,False,400,256,0.396498,0.440546,0.421291,1.046,0.941,1.0,0.396087,0.359639,1.102,1.102,0,0.396498,delta_baseline,1.001,1.0,1.001,1.0,1.111,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,False,400,256,0.421237,1.41697,0.748938,1.892,0.562,1.0,0.418766,0.380761,1.106,1.106,0,0.421237,delta_baseline,1.006,1.0,1.006,1.0,3.364,1.6177678060510227e-16,drift,0,1.0,33772,delta_baseline,0,0.0,relabelled,101,2.453783674629236e-16,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,False,400,256,0.394437,0.467626,0.420051,1.113,0.939,1.0,0.3951,0.358949,1.099,1.099,0,0.394437,delta_baseline,0.998,1.0,0.998,1.0,1.186,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,False,400,256,0.414045,1.417186,0.74495,1.902,0.556,1.0,0.417827,0.379569,1.091,1.091,0,0.414045,delta_baseline,0.991,1.0,0.991,1.0,3.423,2.1754932558339982e-16,drift,0,1.0,33824,delta_baseline,0,0.0,relabelled,101,2.453783674629236e-16,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,False,400,256,0.390056,0.47311,0.4309,1.098,0.905,1.0,0.400457,0.363203,1.074,1.074,0,0.390056,delta_baseline,0.974,1.0,0.974,1.0,1.213,1.3924108160288588e-16,drift,0,1.0,30494,delta_baseline,0,0.0,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,False,400,256,0.411308,1.420637,0.74312,1.912,0.553,1.0,0.416988,0.379046,1.085,1.085,0,0.411308,delta_baseline,0.986,1.0,0.986,1.0,3.454,2.6489519773493806e-16,drift,0,1.0,33814,delta_baseline,0,0.0,relabelled,101,2.453783674629236e-16,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,False,400,256,0.389956,0.468207,0.420179,1.114,0.928,1.0,0.393052,0.356959,1.092,1.092,0,0.389956,delta_baseline,0.992,1.0,0.992,1.0,1.201,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,False,400,256,0.413098,1.431923,0.750214,1.909,0.551,1.0,0.419198,0.380571,1.085,1.085,0,0.413098,delta_baseline,0.985,1.0,0.985,1.0,3.466,1.5708614729928993e-16,drift,0,1.0,33832,delta_baseline,0,0.0,relabelled,101,2.453783674629236e-16,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,False,400,138,0.388845,0.45929,0.420487,1.092,0.925,1.0,0.39187,0.353929,1.099,1.099,0,0.388845,delta_baseline,0.992,1.0,0.992,1.0,1.181,1.3924108160288588e-16,drift,0,1.0,30428,delta_baseline,0,0.0,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,False,400,138,0.410648,1.341205,0.650601,2.061,0.631,1.0,0.413039,0.374805,1.096,1.096,0,0.410648,delta_baseline,0.994,1.0,0.994,1.0,3.266,1.2647956343307973e-16,drift,0,1.0,32282,delta_baseline,0,0.0,relabelled,101,2.453783674629236e-16,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,False,400,256,13.933762,0.460905,0.391654,1.177,35.577,1.177,0.727253,0.455506,30.59,1.012,1,0.460905,hst,19.159,30.231,0.634,30.231,1.0,1.3924108160288588e-16,drift,27,1.015,30508,hst,1,8.063,native,0,0.0,0.5
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,False,400,256,14.323623,1.498666,2.069886,0.724,6.92,1.0,1.759873,1.485164,9.644,1.009,1,1.498666,hst,8.139,9.558,0.852,9.558,1.0,1.6177678060510227e-16,drift,376,1.496,33663,hst,1,13.701,relabelled,101,2.453783674629236e-16,0.5
