matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
TSOPF_RS_b39_c30,60098,1079986,native,8,0.002,17,200,256,1.602005,2.254,13.559916,181,26.39,1.277564,9,0.992,0.050036,1.096,28.925,14,0.07,1.005,0.003,30534,30534,62334,1.3813061926636288e-18,11,0.055,0.945,52.522,0.3694,8,3.4799005362835824e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.01,17,200,256,1.60204,1.718,14.85963,200,29.601,1.66395,14,1.095,0.050322,1.169,34.615,25,0.125,1.021,0.006,30324,30324,62024,1.1356575423760012e-18,21,0.105,0.895,98.397,0.5277,8,3.4799005362835824e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.05,17,200,256,1.594363,0.548,14.738821,200,26.96,4.969955,58,1.066,0.056084,1.003,27.043,109,0.545,1.045,0.027,30572,30572,62881,1.9194371686512284e-16,103,0.515,0.485,489.364,0.8414,8,3.4799005362835824e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.25,17,200,256,1.608287,0.314,14.900272,200,24.772,14.582515,186,1.076,0.059433,0.746,18.487,198,0.99,1.135,0.094,30668,30668,63307,1.9172787161496078e-16,196,0.98,0.02,928.384,0.9049,8,3.4799005362835824e-16,drift
bcspwr10,5300,21842,native,8,0.002,17,200,256,0.01149,0.023,0.107453,195,0.67,0.508377,121,1.162,0.061302,0.99,0.663,169,0.845,2.655,0.662,3630,3630,6261,2.0108074663273862e-16,169,0.845,0.155,74.656,0.7426,8,2.0491136821660902e-16,drift
bcspwr10,5300,21842,native,8,0.01,17,200,256,0.011697,0.021,0.11281,200,0.666,0.677896,175,1.099,0.062142,0.852,0.567,195,0.975,4.981,2.202,3647,3647,6353,1.680529624484628e-16,195,0.975,0.025,86.221,0.766,8,2.1107983819076263e-16,drift
bcspwr10,5300,21842,native,8,0.05,17,200,256,0.012305,0.021,0.120417,200,0.671,0.777765,200,1.07,0.061927,0.651,0.437,199,0.995,3.15,0.822,3752,3752,6696,2.1134702997528877e-16,199,0.995,0.005,90.917,0.7713,8,2.1134702997528877e-16,drift
bcspwr10,5300,21842,native,8,0.25,17,200,256,0.012461,0.02,0.126411,200,0.686,0.797355,200,1.059,0.062081,0.349,0.239,199,0.995,4.31,1.534,3786,3786,6678,2.9686125628838886e-16,199,0.995,0.005,94.183,0.7732,8,1.9790750419225924e-16,drift
ct20stif,52329,2600295,native,8,0.002,17,200,256,0.076624,0.353,0.735461,191,5.423,0.465007,28,0.887,0.054881,1.025,5.559,38,0.19,2.154,0.518,1892,1892,7058,2.2224349610273273e-16,36,0.18,0.82,19.519,0.4498,8,7.566626045264742e-16,drift
ct20stif,52329,2600295,native,8,0.01,17,200,256,0.080263,0.222,0.803132,200,5.307,0.715782,54,0.846,0.056996,0.961,5.098,82,0.41,2.536,0.779,2089,2089,8373,3.274619804557358e-16,81,0.405,0.595,46.76,0.6468,8,7.566626045264742e-16,drift
