matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
TSOPF_RS_b39_c30,60098,1079986,native,8,0.002,17,200,256,1.098172,0.215,9.987152,200,14.373,15.956525,200,1.016,0.0669,0.784,11.268,199,0.995,1.354,0.139,32552,32552,66724,1.694050127294422e-19,199,0.995,0.005,912.695,0.8942,8,3.4799005362835824e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.01,17,200,256,0.604049,0.137,5.276696,200,8.285,12.424169,200,0.824,0.074232,0.619,5.131,199,0.995,6.543,1.212,33892,33892,39460,9.48363427064855e-19,199,0.995,0.005,782.1,0.8864,8,3.4799005362835824e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.05,17,200,256,0.216133,0.117,1.597884,200,3.351,5.52106,200,0.908,0.079155,0.683,2.287,199,0.995,2.214,0.45,8894,8894,9352,1.4313121594940393e-16,199,0.995,0.005,307.66,0.8297,8,3.4799005362835824e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.25,17,200,256,0.110183,0.081,0.63272,200,1.262,3.911331,200,0.88,0.0807,0.379,0.479,199,0.995,5.843,2.915,8797,8797,9315,7.61431719697614e-17,199,0.995,0.005,214.858,0.7931,8,3.4799005362835824e-16,jump
bcspwr10,5300,21842,native,8,0.002,17,200,256,0.011646,0.021,0.113093,200,0.657,0.599251,142,1.133,0.062145,0.955,0.628,176,0.88,3.274,0.853,3926,3926,6865,5.756174473307963e-17,176,0.88,0.12,82.042,0.748,8,2.2137221052124202e-16,jump
bcspwr10,5300,21842,native,8,0.01,17,200,256,0.012098,0.02,0.114834,200,0.623,0.794165,197,1.102,0.062623,0.83,0.517,199,0.995,5.678,2.616,4106,4106,7147,1.1923862243896013e-16,199,0.995,0.005,94.729,0.7715,8,1.707004762384873e-16,jump
bcspwr10,5300,21842,native,8,0.05,17,200,256,0.012183,0.02,0.114628,200,0.593,0.812336,200,1.076,0.062338,0.616,0.365,199,0.995,6.042,2.874,4007,4007,6711,1.2410728196749567e-16,199,0.995,0.005,95.186,0.7677,8,1.331009655235152e-16,jump
bcspwr10,5300,21842,native,8,0.25,17,200,256,0.012159,0.02,0.11584,200,0.602,0.809688,200,1.096,0.061838,0.284,0.171,199,0.995,1.0,0.0,4079,4079,6880,1.163334583170969e-16,199,0.995,0.005,94.66,0.7675,8,1.331009655235152e-16,jump
ct20stif,52329,2600295,native,8,0.002,17,200,256,0.109357,0.091,0.743064,200,2.505,3.141189,197,0.862,0.069656,0.861,2.156,198,0.99,3.083,0.804,12111,12111,16998,6.3052811955790054e-18,198,0.99,0.01,193.779,0.8047,8,7.566626045264742e-16,jump
ct20stif,52329,2600295,native,8,0.01,17,200,256,0.139772,0.081,0.714464,200,1.698,4.695494,200,0.849,0.082057,0.702,1.192,199,0.995,2.094,0.401,17395,17395,21834,9.01136319958243e-17,199,0.995,0.005,280.086,0.8117,8,7.566626045264742e-16,jump
ct20stif,52329,2600295,native,8,0.05,17,200,256,0.162226,0.078,0.690821,200,1.2,5.672086,200,0.887,0.082838,0.593,0.711,199,0.995,1.179,0.056,18144,18144,22067,1.4030425955655055e-16,199,0.995,0.005,338.031,0.8171,8,7.566626045264742e-16,jump
ct20stif,52329,2600295,native,8,0.25,17,200,256,0.161509,0.077,0.673734,200,1.004,5.91366,200,0.918,0.083771,0.298,0.299,199,0.995,3.035,0.906,17693,17693,22049,4.789127532964387e-17,199,0.995,0.005,344.157,0.8181,8,7.566626045264742e-16,jump
memplus,17758,99147,native,8,0.002,17,200,256,0.109826,0.092,0.958005,200,2.91,2.267638,193,1.047,0.093882,0.958,2.788,194,0.97,2.309,0.5,8785,8785,14653,2.261019806094154e-17,194,0.97,0.03,191.603,0.7992,8,4.191312755680975e-16,jump
memplus,17758,99147,native,8,0.01,17,200,256,0.081047,0.069,0.627493,200,1.76,2.389258,200,0.917,0.100967,0.809,1.425,199,0.995,5.765,2.771,6511,6511,8984,8.653748903708536e-17,199,0.995,0.005,183.122,0.7784,8,4.123577810535006e-16,jump
memplus,17758,99147,native,8,0.05,17,200,256,0.042397,0.05,0.298618,200,0.847,1.905099,200,0.982,0.103912,0.743,0.629,199,0.995,2.442,0.424,5296,5296,6988,1.7795987781493231e-16,199,0.995,0.005,121.462,0.7158,8,3.455318245694239e-16,jump
memplus,17758,99147,native,8,0.25,17,200,256,0.035486,0.046,0.218309,200,0.611,1.788737,200,1.052,0.104166,0.406,0.248,199,0.995,5.596,2.276,5503,5503,7132,1.6318639875675904e-16,199,0.995,0.005,107.291,0.6959,8,3.455318245694239e-16,jump
scircuit,170998,958936,native,8,0.002,17,200,256,0.054633,0.082,0.231508,200,0.602,1.157588,199,0.993,0.078282,1.553,0.935,198,0.99,4.462,1.332,4897,4897,5925,6.012469831905726e-19,198,0.99,0.01,94.639,0.7119,8,3.867730822341156e-16,jump
scircuit,170998,958936,native,8,0.01,17,200,256,0.06693,0.086,0.207568,200,0.689,1.376532,200,1.034,0.081987,0.937,0.645,199,0.995,3.766,1.171,6235,6235,6647,1.383049393251365e-20,199,0.995,0.005,111.226,0.7142,8,2.613455787569808e-16,jump
scircuit,170998,958936,native,8,0.05,17,200,256,0.07339,0.086,0.192498,200,0.487,1.533207,200,1.032,0.08475,0.862,0.419,199,0.995,5.566,2.384,6398,6398,6563,4.933205863840811e-17,199,0.995,0.005,122.43,0.7145,8,1.0710860523257827e-16,jump
scircuit,170998,958936,native,8,0.25,17,200,256,0.078003,0.088,0.183193,200,0.347,1.677015,200,1.077,0.085964,0.577,0.2,199,0.995,1.0,0.0,6213,6213,6353,2.0220393227221224e-17,199,0.995,0.005,128.225,0.723,8,1.0710860523257827e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.002,117,200,256,1.020025,0.203,9.210413,200,14.015,15.825421,199,1.023,0.066203,0.757,10.608,198,0.99,1.371,0.143,32690,32690,67322,6.066468697771336e-19,198,0.99,0.01,897.517,0.8929,8,2.6320765507312333e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.01,117,200,256,0.376086,0.161,3.219525,200,7.464,7.131625,200,0.954,0.072647,0.732,5.465,199,0.995,5.837,2.814,8390,8390,9346,2.3246542678083944e-18,199,0.995,0.005,401.247,0.8576,8,2.6320765507312333e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.05,117,200,256,0.190393,0.068,1.409318,200,2.603,6.816752,200,0.791,0.080139,0.542,1.41,199,0.995,5.478,1.408,33858,33858,39102,1.4759171379103276e-16,199,0.995,0.005,481.39,0.8647,8,2.6320765507312333e-16,jump
TSOPF_RS_b39_c30,60098,1079986,native,8,0.25,117,200,256,0.117437,0.083,0.74289,200,1.519,3.7435,200,0.915,0.080355,0.366,0.556,199,0.995,1.837,0.245,8716,8716,9190,8.003121999668986e-17,199,0.995,0.005,227.108,0.8047,8,2.6320765507312333e-16,jump
bcspwr10,5300,21842,native,8,0.002,117,200,256,0.01136,0.022,0.111584,200,0.67,0.611162,159,1.155,0.060633,0.948,0.635,183,0.915,3.47,0.904,3915,3915,6591,1.1114769241246404e-16,183,0.915,0.085,78.198,0.7464,8,1.9770928913109162e-16,jump
bcspwr10,5300,21842,native,8,0.01,117,200,256,0.011384,0.019,0.111258,200,0.608,0.771027,196,1.161,0.061025,0.846,0.514,199,0.995,5.92,2.76,4115,4115,7014,1.1660610475182155e-16,199,0.995,0.005,92.17,0.7687,8,1.7456402940333735e-16,jump
bcspwr10,5300,21842,native,8,0.05,117,200,256,0.011494,0.019,0.111542,200,0.59,0.794713,200,1.088,0.061745,0.626,0.369,199,0.995,6.078,2.929,4074,4074,6876,1.6528516691204728e-16,199,0.995,0.005,92.621,0.7681,8,1.6612864837270794e-16,jump
bcspwr10,5300,21842,native,8,0.25,117,200,256,0.011777,0.019,0.114381,200,0.602,0.802535,200,1.095,0.06137,0.284,0.171,199,0.995,2.681,0.512,4090,4090,7057,1.1536659959138877e-16,199,0.995,0.005,93.978,0.7677,8,1.6612864837270794e-16,jump
ct20stif,52329,2600295,native,8,0.002,117,200,256,0.099808,0.093,0.661797,200,2.383,2.816297,198,0.875,0.069141,0.871,2.074,197,0.985,3.112,0.839,11412,11412,16033,3.019286720541915e-17,197,0.985,0.015,170.857,0.7971,8,5.733004858873031e-16,jump
ct20stif,52329,2600295,native,8,0.01,117,200,256,0.129845,0.079,0.665373,200,1.653,4.476307,200,0.857,0.076853,0.718,1.187,199,0.995,2.478,0.607,16828,16828,21912,5.729203243349842e-17,199,0.995,0.005,268.22,0.8144,8,5.733004858873031e-16,jump
ct20stif,52329,2600295,native,8,0.05,117,200,256,0.156492,0.078,0.676005,200,1.22,5.546446,200,0.867,0.081365,0.587,0.716,199,0.995,1.67,0.224,17665,17665,21874,1.0638489324352899e-16,199,0.995,0.005,326.786,0.8178,8,5.733004858873031e-16,jump
ct20stif,52329,2600295,native,8,0.25,117,200,256,0.161856,0.078,0.67696,200,1.029,5.948273,200,0.912,0.082898,0.295,0.303,199,0.995,3.107,1.023,18116,18116,21892,1.3296246002427803e-16,199,0.995,0.005,340.57,0.8191,8,5.733004858873031e-16,jump
