matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
TSOPF_RS_b39_c30,60098,1079986,native,1,0.0,17,200,256,0.294149,0.867,0.362158,1,0.991,0.514953,1,1.032,0.046508,1.123,1.112,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,2.5574973092069397e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.0,17,200,256,1.613303,3.918,0.479483,1,0.939,0.60868,1,1.011,0.050288,1.272,1.194,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,3.4799005362835824e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,16,0.0,17,200,256,2.851078,4.016,0.675193,1,0.836,0.756627,1,1.305,0.050975,1.47,1.228,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,1.9687993927339242e-16,drift
bcspwr10,5300,21842,native,1,0.0,17,200,256,0.005076,0.053,0.011742,1,0.141,0.107658,1,1.082,0.052854,0.974,0.137,0,0.0,1.0,0.0,3622,3622,6298,0.0,0,0.0,1.0,0.0,0.0,8,3.361542787404036e-16,drift
bcspwr10,5300,21842,native,8,0.0,17,200,256,0.010699,0.102,0.013716,1,0.141,0.113356,1,1.075,0.054539,1.041,0.147,0,0.0,1.0,0.0,3622,3622,6298,0.0,0,0.0,1.0,0.0,0.0,8,2.052845881675336e-16,drift
bcspwr10,5300,21842,native,16,0.0,17,200,256,0.018281,0.153,0.015852,1,0.137,0.122351,1,1.054,0.056936,1.067,0.146,0,0.0,1.0,0.0,3622,3622,6298,0.0,0,0.0,1.0,0.0,0.0,8,1.8795534675468195e-16,drift
ct20stif,52329,2600295,native,1,0.0,17,200,256,0.017597,0.198,0.02958,1,0.319,0.184943,1,1.067,0.049666,1.136,0.362,0,0.0,1.0,0.0,1371,1371,5557,0.0,0,0.0,1.0,0.0,0.0,8,2.97672209005097e-16,drift
ct20stif,52329,2600295,native,8,0.0,17,200,256,0.073521,0.73,0.03776,1,0.37,0.208232,1,1.063,0.052776,1.095,0.405,0,0.0,1.0,0.0,1371,1371,5557,0.0,0,0.0,1.0,0.0,0.0,8,7.566626045264742e-16,drift
ct20stif,52329,2600295,native,16,0.0,17,200,256,0.14536,1.277,0.047453,1,0.406,0.257172,1,0.824,0.053125,0.977,0.397,0,0.0,1.0,0.0,1371,1371,5557,0.0,0,0.0,1.0,0.0,0.0,8,5.326837423183535e-16,drift
memplus,17758,99147,native,1,0.0,17,200,256,0.023178,0.255,0.040221,1,0.425,0.233166,1,0.973,0.050464,1.094,0.465,0,0.0,1.0,0.0,8170,8170,13904,0.0,0,0.0,1.0,0.0,0.0,8,4.1811942658081285e-16,drift
memplus,17758,99147,native,8,0.0,17,200,256,0.097094,0.809,0.048036,1,0.427,0.24978,1,1.191,0.050962,1.09,0.465,0,0.0,1.0,0.0,8170,8170,13904,0.0,0,0.0,1.0,0.0,0.0,8,7.231003387853949e-16,drift
