churn_model,scope,regime,model,lomo_acc,insample_acc,regret_geo,regret_p90,regret_worst,cells_over_2x,n_cells,n_positive,label_collapse
drift,frozen only,structure,always column-exact,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,structure,always block-scheduled,0.0286,0.0286,2.0869,3.8554,5.8515,50,105,3,0
drift,frozen only,structure,1-D threshold (tree d=1),0.8762,0.9714,1.0647,1.0051,3.8554,4,105,3,0
drift,frozen only,structure,decision tree d=3,0.9238,0.9905,1.0156,1.0,1.4011,0,105,3,0
drift,frozen only,structure,logistic regression,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,structure,kNN (k=5),0.9619,0.981,1.0051,1.0,1.6819,0,105,3,0
drift,frozen only,structure,random forest (300),0.9714,0.9905,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,structure,gradient boosting,0.9238,0.9905,1.0156,1.0,1.4011,0,105,3,0
drift,frozen only,churn,always column-exact,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,churn,always block-scheduled,0.0286,0.0286,2.0869,3.8554,5.8515,50,105,3,0
drift,frozen only,churn,1-D threshold (tree d=1),0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,churn,decision tree d=3,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,churn,logistic regression,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,churn,kNN (k=5),0.019,0.0286,2.0866,3.8554,5.8515,50,105,3,0
drift,frozen only,churn,random forest (300),0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,churn,gradient boosting,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,both,always column-exact,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,both,always block-scheduled,0.0286,0.0286,2.0869,3.8554,5.8515,50,105,3,0
drift,frozen only,both,1-D threshold (tree d=1),0.8762,0.9714,1.0647,1.0051,3.8554,4,105,3,0
drift,frozen only,both,decision tree d=3,0.9238,0.9905,1.0156,1.0,1.4011,0,105,3,0
drift,frozen only,both,logistic regression,0.9714,0.9714,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,both,kNN (k=5),0.9619,0.981,1.0051,1.0,1.6819,0,105,3,0
drift,frozen only,both,random forest (300),0.9714,0.9905,1.0002,1.0,1.0097,0,105,3,0
drift,frozen only,both,gradient boosting,0.9238,0.9905,1.0156,1.0,1.4011,0,105,3,0
drift,frozen only,measured,MEASURED ROUTER (steady),0.9714,,1.0427,1.1741,1.2127,0,105,3,
drift,frozen only,measured,MEASURED ROUTER (+calib),0.9714,,1.1088,1.2307,1.2573,0,105,3,
drift,churning only,structure,always column-exact,0.0,0.0,5.5664,26.8214,35.5651,331,418,418,1
drift,churning only,structure,always block-scheduled,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,1-D threshold (tree d=1),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,decision tree d=3,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,logistic regression,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,kNN (k=5),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,random forest (300),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,structure,gradient boosting,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,always column-exact,0.0,0.0,5.5664,26.8214,35.5651,331,418,418,1
drift,churning only,churn,always block-scheduled,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,1-D threshold (tree d=1),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,decision tree d=3,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,logistic regression,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,kNN (k=5),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,random forest (300),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,churn,gradient boosting,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,always column-exact,0.0,0.0,5.5664,26.8214,35.5651,331,418,418,1
drift,churning only,both,always block-scheduled,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,1-D threshold (tree d=1),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,decision tree d=3,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,logistic regression,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,kNN (k=5),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,random forest (300),1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,both,gradient boosting,1.0,1.0,1.0,1.0,1.0,0,418,418,1
drift,churning only,measured,MEASURED ROUTER (steady),1.0,,1.088,1.1642,3.0898,2,418,418,
drift,churning only,measured,MEASURED ROUTER (+calib),1.0,,1.3923,1.6606,3.68,16,418,418,
drift,workload mix (frozen + churning),structure,always column-exact,0.195,0.195,3.9437,22.3593,35.5651,331,523,421,0
drift,workload mix (frozen + churning),structure,always block-scheduled,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,1-D threshold (tree d=1),0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,decision tree d=3,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,logistic regression,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,kNN (k=5),0.7935,0.7533,1.1977,2.3699,13.4545,58,523,421,0
drift,workload mix (frozen + churning),structure,random forest (300),0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
