matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,False,400,256,0.383526,0.395929,0.381392,1.038,1.006,1.006,0.391514,0.355388,1.079,1.079,0,0.383526,delta_baseline,0.98,1.0,0.98,1.0,1.032,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,False,400,256,0.385615,0.386454,0.36699,1.053,1.051,1.051,0.391497,0.354816,1.087,1.087,0,0.385615,delta_baseline,0.985,1.0,0.985,1.0,1.002,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,False,400,256,0.387376,0.385422,0.367741,1.048,1.053,1.048,0.388949,0.353188,1.097,1.091,0,0.385422,hst,0.996,1.005,0.991,1.005,1.0,1.3924108160288588e-16,drift,0,1.0,30494,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,False,400,256,0.386194,0.38562,0.367261,1.05,1.052,1.05,0.38988,0.353382,1.093,1.091,0,0.38562,hst,0.991,1.001,0.989,1.001,1.0,1.3924108160288588e-16,drift,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,False,400,138,0.383978,0.380281,0.361803,1.051,1.061,1.051,0.3871,0.351485,1.092,1.082,0,0.380281,hst,0.992,1.01,0.982,1.01,1.0,1.3924108160288588e-16,drift,0,1.0,30428,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,False,400,256,13.861758,0.43,0.461629,0.931,30.028,1.0,0.691571,0.421378,32.896,1.02,1,0.43,hst,20.044,32.237,0.622,32.237,1.0,1.3924108160288588e-16,drift,27,1.015,30508,hst,1,7.938
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,False,400,256,13.838,0.406899,0.377528,1.078,36.654,1.078,0.851619,0.594385,23.281,0.685,6,0.406899,hst,16.249,34.008,0.478,34.008,1.0,1.3924108160288588e-16,drift,18,1.012,30572,hst,1,73.663
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,False,400,256,13.875739,0.410918,0.379419,1.083,36.571,1.083,0.693882,0.417405,33.243,0.984,1,0.410918,hst,19.997,33.768,0.592,33.768,1.0,1.3924108160288588e-16,drift,27,1.012,30574,hst,1,8.13
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,False,400,256,14.049175,0.410908,0.384743,1.068,36.516,1.068,1.016779,0.593657,23.665,0.692,10,0.410908,hst,13.817,34.191,0.404,34.191,1.0,1.3924108160288588e-16,drift,32,1.017,30500,hst,1,138.64
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,False,400,138,0.381335,0.374167,0.357747,1.046,1.066,1.046,0.38292,0.346473,1.101,1.08,0,0.374167,hst,0.996,1.019,0.977,1.019,1.0,1.3924108160288588e-16,drift,0,1.0,30428,delta_baseline,0,0.0
