matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,False,400,256,0.396834,0.393469,0.374247,1.051,1.06,1.051,0.392515,0.355722,1.116,1.106,0,0.393469,hst,1.011,1.009,1.002,1.009,1.0,1.3924108160288588e-16,jump,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,False,400,256,0.3877,0.38673,0.373702,1.035,1.037,1.035,0.395069,0.358967,1.08,1.077,0,0.38673,hst,0.981,1.003,0.979,1.003,1.0,1.3924108160288588e-16,jump,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,False,400,256,0.388659,0.386303,0.373166,1.035,1.042,1.035,0.391651,0.355728,1.093,1.086,0,0.386303,hst,0.992,1.006,0.986,1.006,1.0,1.3924108160288588e-16,jump,0,1.0,30494,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,False,400,256,0.398521,0.387852,0.376505,1.03,1.058,1.03,0.398146,0.361978,1.101,1.071,0,0.387852,hst,1.001,1.028,0.974,1.028,1.0,1.3924108160288588e-16,jump,0,1.0,30502,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,False,400,138,0.394373,0.381685,0.374566,1.019,1.053,1.019,0.396377,0.359972,1.096,1.06,0,0.381685,hst,0.995,1.033,0.963,1.033,1.0,1.3924108160288588e-16,jump,0,1.0,30428,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,False,400,256,7.340962,0.519939,0.835318,0.622,8.788,1.0,0.788213,0.51431,14.273,1.011,1,0.519939,hst,9.313,14.119,0.66,14.119,1.0,1.3924108160288588e-16,jump,394,1.66,33412,hst,1,8.437
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,False,400,256,10.300284,0.516979,0.867657,0.596,11.871,1.0,0.793766,0.52667,19.557,0.982,1,0.516979,hst,12.976,19.924,0.651,19.924,1.0,1.3924108160288588e-16,jump,395,1.672,33428,hst,1,8.106
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,False,400,256,8.925588,0.518065,0.883123,0.587,10.107,1.0,0.782056,0.526509,16.952,0.984,1,0.518065,hst,11.413,17.229,0.662,17.229,1.0,1.3924108160288588e-16,jump,398,1.689,33466,hst,1,7.967
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,False,400,256,8.383576,0.516911,0.800524,0.646,10.473,1.0,0.794225,0.52655,15.922,0.982,1,0.516911,hst,10.556,16.219,0.651,16.219,1.0,1.3924108160288588e-16,jump,394,1.678,33396,hst,1,8.218
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,False,400,138,0.382983,0.383118,0.362096,1.058,1.058,1.058,0.385946,0.349679,1.095,1.095,0,0.382983,delta_baseline,0.992,1.0,0.992,1.0,1.0,1.3924108160288588e-16,jump,0,1.0,30428,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,False,400,256,2.904403,0.358488,0.670184,0.535,4.334,1.0,0.60484,0.346846,8.374,1.034,3,0.358488,hst,4.802,8.102,0.593,8.102,1.0,1.3924108160288588e-16,jump,399,1.745,9291,hst,1,7.861
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,False,400,256,3.883122,0.423143,0.788228,0.537,4.926,1.0,0.700135,0.421098,9.221,1.005,2,0.423143,hst,5.546,9.177,0.604,9.177,1.0,1.3924108160288588e-16,jump,399,4.136,8751,hst,1,8.471
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,False,400,256,3.441012,0.368789,0.655497,0.563,5.249,1.0,0.63137,0.359961,9.559,1.025,3,0.368789,hst,5.45,9.331,0.584,9.331,1.0,1.3924108160288588e-16,jump,399,1.831,8457,hst,1,8.042
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,False,400,256,2.055464,0.329911,0.762038,0.433,2.697,1.0,0.598879,0.317512,6.474,1.039,5,0.329911,hst,3.432,6.23,0.551,6.23,1.0,1.3924108160288588e-16,jump,399,6.577,33810,hst,1,8.167
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,False,400,138,5.071622,0.408654,0.725781,0.563,6.988,1.0,0.676193,0.410164,12.365,0.996,2,0.408654,hst,7.5,12.411,0.604,12.411,1.0,1.3924108160288588e-16,jump,399,6.452,32329,hst,1,8.037
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,False,400,256,0.896688,0.235358,0.484304,0.486,1.851,1.0,0.457214,0.202139,4.436,1.164,11,0.235358,hst,1.961,3.81,0.515,3.81,1.0,1.3924108160288588e-16,jump,399,5.416,8682,hst,1,7.611
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,False,400,256,0.711701,0.215759,0.459112,0.47,1.55,1.0,0.426803,0.189685,3.752,1.137,14,0.215759,hst,1.668,3.299,0.506,3.299,1.0,1.3924108160288588e-16,jump,399,4.382,8800,hst,1,7.159
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,False,400,256,0.721493,0.215255,0.443153,0.486,1.628,1.0,0.448251,0.186475,3.869,1.154,14,0.215255,hst,1.61,3.352,0.48,3.352,1.0,1.3924108160288588e-16,jump,399,1.981,8734,hst,1,7.493
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,False,400,256,1.232821,0.251687,0.537155,0.469,2.295,1.0,0.524064,0.230345,5.352,1.093,8,0.251687,hst,2.352,4.898,0.48,4.898,1.0,1.3924108160288588e-16,jump,399,4.349,8636,hst,1,8.439
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,False,400,138,0.620602,0.139542,0.327953,0.425,1.892,1.0,0.383687,0.118284,5.247,1.18,15,0.139542,hst,1.617,4.447,0.364,4.447,1.0,1.3924108160288588e-16,jump,399,1.516,4958,hst,1,7.401
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,False,400,256,0.31954,0.216731,0.927695,0.234,0.344,1.0,0.349163,0.214285,1.491,1.011,52,0.216731,hst,0.915,1.474,0.621,1.474,1.0,1.3924108160288588e-16,jump,399,2.853,8706,hst,1,5.506
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,False,400,256,0.355082,0.221771,1.062049,0.209,0.334,1.0,0.364407,0.220099,1.613,1.008,45,0.221771,hst,0.974,1.601,0.609,1.601,1.0,1.3924108160288588e-16,jump,399,4.244,8800,hst,1,6.068
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,False,400,256,0.347584,0.217103,1.030988,0.211,0.337,1.0,0.324395,0.214398,1.621,1.013,31,0.217103,hst,1.071,1.601,0.669,1.601,1.0,1.3924108160288588e-16,jump,399,1.89,8616,hst,1,4.165
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,False,400,256,0.488255,0.233618,1.093845,0.214,0.446,1.0,0.427784,0.230683,2.117,1.013,26,0.233618,hst,1.141,2.09,0.546,2.09,1.0,1.3924108160288588e-16,jump,399,3.485,8436,hst,1,6.706
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,False,400,138,0.285199,0.139449,0.619907,0.225,0.46,1.0,0.264486,0.133281,2.14,1.046,33,0.139449,hst,1.078,2.045,0.527,2.045,1.0,1.3924108160288588e-16,jump,399,1.0,4850,hst,1,5.016
bcspwr10,5300,21842,8,0.0,17,False,400,256,0.006655,0.03714,0.034082,1.09,0.195,1.0,0.007885,0.007513,0.886,0.886,,0.006655,delta_baseline,0.844,1.0,0.844,1.0,5.581,1.871280638170483e-16,jump,0,1.0,3622,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,18,False,400,256,0.006525,0.038294,0.034961,1.095,0.187,1.0,0.00759,0.007215,0.904,0.904,,0.006525,delta_baseline,0.86,1.0,0.86,1.0,5.868,3.513861746800697e-16,jump,0,1.0,3653,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,19,False,400,256,0.006538,0.035423,0.032551,1.088,0.201,1.0,0.007799,0.007446,0.878,0.878,,0.006538,delta_baseline,0.838,1.0,0.838,1.0,5.418,2.258919437555397e-16,jump,0,1.0,3393,delta_baseline,0,0.0
