matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,router_arm,router_switches,router_tax_ms
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,False,400,256,0.498273,0.565527,0.501179,0.45453,1.096,1.096,0,0.498273,delta_baseline,0.994,1.0,0.994,1.0,1.135,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,False,400,256,0.495425,0.573501,0.495615,0.450204,1.1,1.1,0,0.495425,delta_baseline,1.0,1.0,1.0,1.0,1.158,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,False,400,256,0.48905,0.520629,0.499689,0.453589,1.078,1.078,0,0.48905,delta_baseline,0.979,1.0,0.979,1.0,1.065,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,False,400,256,0.491826,0.540202,0.479003,0.349076,1.409,1.409,0,0.491826,delta_baseline,1.027,1.0,1.027,1.0,1.098,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,False,400,138,0.383387,0.393511,0.385221,0.348375,1.101,1.101,0,0.383387,delta_baseline,0.995,1.0,0.995,1.0,1.026,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,False,400,256,13.959339,0.468107,0.716981,0.447731,31.178,1.046,1,0.468107,hst,19.47,29.821,0.653,29.821,1.0,1.3924108160288588e-16,drift,hst,1,8.502
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,False,400,256,13.964612,0.437746,0.868228,0.608242,22.959,0.72,5,0.437746,hst,16.084,31.901,0.504,31.901,1.0,1.3924108160288588e-16,drift,hst,1,72.975
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,False,400,256,13.883131,0.420957,0.689134,0.417271,33.271,1.009,1,0.420957,hst,20.146,32.98,0.611,32.98,1.0,1.3924108160288588e-16,drift,hst,1,8.394
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,False,400,256,14.129403,0.436665,1.020549,0.599084,23.585,0.729,10,0.436665,hst,13.845,32.358,0.428,32.358,1.0,1.3924108160288588e-16,drift,hst,1,138.751
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,False,400,138,0.38266,0.430897,0.385593,0.348749,1.097,1.097,0,0.38266,delta_baseline,0.992,1.0,0.992,1.0,1.126,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,False,400,256,14.527559,0.437795,0.710344,0.434471,33.437,1.008,1,0.437795,hst,20.451,33.184,0.616,33.184,1.0,1.3924108160288588e-16,drift,hst,1,8.434
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,False,400,256,14.631323,0.445543,1.546731,1.301166,11.245,0.342,25,0.445543,hst,9.46,32.839,0.288,32.839,1.0,1.3924108160288588e-16,drift,hst,1,334.742
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,False,400,256,14.483761,0.435129,1.320282,0.963851,15.027,0.451,19,0.435129,hst,10.97,33.286,0.33,33.286,1.0,1.3924108160288588e-16,drift,hst,1,252.539
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,False,400,256,14.56197,0.430854,0.694361,0.421982,34.509,1.021,1,0.430854,hst,20.972,33.798,0.621,33.798,1.0,1.3924108160288588e-16,drift,hst,1,8.422
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,False,400,138,0.381682,0.43046,0.383854,0.347587,1.098,1.098,0,0.381682,delta_baseline,0.994,1.0,0.994,1.0,1.128,1.3924108160288588e-16,drift,delta_baseline,0,0.0
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,False,400,256,14.60895,0.53588,0.801352,0.537193,27.195,0.998,1,0.53588,hst,18.23,27.262,0.669,27.262,1.0,1.3924108160288588e-16,drift,hst,1,8.307
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,False,400,256,14.624429,0.515873,0.79015,0.521351,28.051,0.989,1,0.515873,hst,18.508,28.349,0.653,28.349,1.0,1.3924108160288588e-16,drift,hst,1,8.583
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,False,400,256,14.562052,0.551531,0.822151,0.555086,26.234,0.994,1,0.551531,hst,17.712,26.403,0.671,26.403,1.0,1.3924108160288588e-16,drift,hst,1,8.55
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,False,400,256,14.610398,0.536846,0.804133,0.53774,27.17,0.998,1,0.536846,hst,18.169,27.215,0.668,27.215,1.0,1.3924108160288588e-16,drift,hst,1,8.409
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,False,400,138,14.433037,0.453354,0.670864,0.389372,37.067,1.164,1,0.453354,hst,21.514,31.836,0.676,31.836,1.0,1.3924108160288588e-16,drift,hst,1,8.458
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,False,400,256,14.747992,0.54858,0.813727,0.537849,27.42,1.02,1,0.54858,hst,18.124,26.884,0.674,26.884,1.0,1.3924108160288588e-16,drift,hst,1,8.875
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,False,400,256,14.726879,0.598163,0.880614,0.609576,24.159,0.981,1,0.598163,hst,16.723,24.62,0.679,24.62,1.0,1.3924108160288588e-16,drift,hst,1,8.933
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,False,400,256,14.72474,0.493609,0.78046,0.497386,29.604,0.992,1,0.493609,hst,18.867,29.831,0.632,29.831,1.0,1.3924108160288588e-16,drift,hst,1,9.087
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,False,400,256,14.741699,0.571845,0.840622,0.567308,25.985,1.008,1,0.571845,hst,17.537,25.779,0.68,25.779,1.0,1.3924108160288588e-16,drift,hst,1,9.011
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,False,400,138,14.495464,0.602739,0.871873,0.600048,24.157,1.004,1,0.602739,hst,16.626,24.049,0.691,24.049,1.0,1.3924108160288588e-16,drift,hst,1,8.66
bcspwr10,5300,21842,8,0.0,17,False,400,256,0.006142,0.037482,0.007357,0.007006,0.877,0.877,,0.006142,delta_baseline,0.835,1.0,0.835,1.0,6.103,1.871280638170483e-16,drift,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,18,False,400,256,0.006002,0.038155,0.007219,0.00688,0.872,0.872,,0.006002,delta_baseline,0.831,1.0,0.831,1.0,6.357,3.513861746800697e-16,drift,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,19,False,400,256,0.005997,0.035471,0.008,0.007502,0.799,0.799,,0.005997,delta_baseline,0.75,1.0,0.75,1.0,5.915,2.258919437555397e-16,drift,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,20,False,400,256,0.006179,0.033432,0.0074,0.007054,0.876,0.876,,0.006179,delta_baseline,0.835,1.0,0.835,1.0,5.411,1.5260920413345594e-16,drift,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.0,21,False,400,256,0.005983,0.035055,0.007159,0.006842,0.874,0.874,,0.005983,delta_baseline,0.836,1.0,0.836,1.0,5.859,3.1586084160755566e-16,drift,delta_baseline,0,0.0
bcspwr10,5300,21842,8,0.002,17,False,400,256,0.081977,0.075712,0.096715,0.082202,0.997,0.921,,0.075712,hst,0.848,1.083,0.783,1.083,1.0,1.871280638170483e-16,drift,hst,1,3.966
bcspwr10,5300,21842,8,0.002,18,False,400,256,0.084421,0.078249,0.09943,0.085652,0.986,0.914,,0.078249,hst,0.849,1.079,0.787,1.079,1.0,3.513861746800697e-16,drift,hst,1,3.919
bcspwr10,5300,21842,8,0.002,19,False,400,256,0.083216,0.072355,0.092941,0.078206,1.064,0.925,782,0.072355,hst,0.895,1.15,0.779,1.15,1.0,2.258919437555397e-16,drift,hst,1,3.918
bcspwr10,5300,21842,8,0.002,20,False,400,256,0.081701,0.067879,0.088483,0.075079,1.088,0.904,551,0.067879,hst,0.923,1.204,0.767,1.204,1.0,1.5260920413345594e-16,drift,hst,1,3.648
bcspwr10,5300,21842,8,0.002,21,False,400,256,0.077724,0.074033,0.096304,0.081838,0.95,0.905,,0.074033,hst,0.807,1.05,0.769,1.05,1.0,3.1586084160755566e-16,drift,hst,1,4.023
bcspwr10,5300,21842,8,0.01,17,False,400,256,0.088112,0.08733,0.108736,0.093776,0.94,0.931,,0.08733,hst,0.81,1.009,0.803,1.009,1.0,1.871280638170483e-16,drift,hst,1,4.405
