churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
drift,workload mix (frozen + churning),learner spread,structure+rho,,geomean regret span,0.15913,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,1-D threshold (tree d=1) [structure+rho],,geomean regret,1.00003,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,decision tree d=3 [structure+rho],,geomean regret,1.00312,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,logistic regression [structure+rho],,geomean regret,1.15917,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,kNN (k=5) [structure+rho],,geomean regret,1.13796,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,random forest (300) [structure+rho],,geomean regret,1.00003,,,,523,21
drift,workload mix (frozen + churning),per-learner LOMO,gradient boosting [structure+rho],,geomean regret,1.00312,,,,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),geomean regret,-0.07836,-0.10143,-0.05415,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),worst-case regret,-1.52637,-2.0801,-0.34945,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),accuracy,0.0,0.0,0.0,0,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),geomean regret,-0.3303,-0.39527,-0.27611,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),worst-case regret,-2.3548,-2.67032,-0.8573,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),accuracy,0.0,0.0,0.0,0,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure+rho],router (steady),geomean regret,0.08039,0.04714,0.11439,1,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure+rho],router (steady),worst-case regret,2.76649,0.76558,4.50205,1,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure+rho],router (steady),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure+rho],router (+calibration),geomean regret,-0.17155,-0.25531,-0.09759,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure+rho],router (+calibration),worst-case regret,1.93807,0.17536,3.9942,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure+rho],router (+calibration),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),geomean regret,-0.07836,-0.10143,-0.05415,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),worst-case regret,-1.52637,-2.0801,-0.34945,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure+rho],router (steady),accuracy,0.0,0.0,0.0,0,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),geomean regret,-0.3303,-0.39527,-0.27611,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),worst-case regret,-2.3548,-2.67032,-0.8573,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs +calib,1-D threshold (tree d=1) [structure+rho],router (+calibration),accuracy,0.0,0.0,0.0,0,523,21
drift,workload mix (frozen + churning),selection optimism,nested [structure+rho],best_of [structure+rho],geomean regret,0.0,,,,523,21
drift,workload mix (frozen + churning),nested vs steady,nested selection [structure+rho],router (steady),geomean regret,-0.07836,-0.10143,-0.05415,1,523,21
drift,workload mix (frozen + churning),nested vs steady,nested selection [structure+rho],router (steady),worst-case regret,-1.52637,-2.0801,-0.34945,1,523,21
