churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,1-D threshold (tree d=1) [both],router (steady),geomean regret,-0.08147,-0.1045,-0.05731,1,514,21
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,1-D threshold (tree d=1) [both],router (steady),worst-case regret,-1.53262,-2.08983,-0.34945,1,514,21
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs steady,1-D threshold (tree d=1) [both],router (steady),accuracy,0.0,0.0,0.0,0,514,21
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),geomean regret,-0.33726,-0.41138,-0.27722,1,514,21
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),worst-case regret,-2.36104,-2.68004,-0.8573,1,514,21
drift,workload mix (frozen + churning),O3 score-restricted [operator median replicate floor] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),accuracy,0.0,0.0,0.0,0,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),geomean regret,-0.08147,-0.1045,-0.05731,1,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),worst-case regret,-1.53262,-2.08983,-0.34945,1,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),accuracy,0.0,0.0,0.0,0,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),geomean regret,-0.33726,-0.41138,-0.27722,1,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),worst-case regret,-2.36104,-2.68004,-0.8573,1,514,21
drift,workload mix (frozen + churning),O3 fit-restricted [operator median replicate floor] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),accuracy,0.0,0.0,0.0,0,514,21
drift,workload mix (frozen + churning),O3 pre-registered [operator median replicate floor] vs steady,"logistic regression [both, refit]",router (steady),geomean regret,0.08016,0.04562,0.1146,1,514,21
