churn_model,scope,steps,router_held,router_regret,offline[nested selection|free (as the paper charges it)]_held,offline[nested selection|padding-ratio-feature as shipped]_held,"offline[nested selection|padding-ratio-feature, bincount hoisted]_held",offline[best-of-six on the scoring rows|free (as the paper charges it)]_held,offline[best-of-six on the scoring rows|padding-ratio-feature as shipped]_held,"offline[best-of-six on the scoring rows|padding-ratio-feature, bincount hoisted]_held",offline[pre-registered|free (as the paper charges it)]_held,offline[pre-registered|padding-ratio-feature as shipped]_held,"offline[pre-registered|padding-ratio-feature, bincount hoisted]_held"
drift,workload mix (frozen + churning),32,0.26706,3.74448,0.99997,0.7953,0.99434,0.99997,0.7953,0.99434,0.86269,0.71514,0.85956
drift,workload mix (frozen + churning),50,0.35294,2.83335,0.99997,0.85235,0.99635,0.99997,0.85235,0.99635,0.86269,0.75841,0.86068
drift,workload mix (frozen + churning),100,0.50021,1.99917,0.99997,0.91552,0.99815,0.99997,0.91552,0.99815,0.86269,0.8046,0.86168
drift,workload mix (frozen + churning),200,0.64048,1.56134,0.99997,0.95398,0.99906,0.99997,0.95398,0.99906,0.86269,0.83168,0.86219
drift,workload mix (frozen + churning),400,0.75183,1.33009,0.99997,0.97577,0.99951,0.99997,0.97577,0.99951,0.86269,0.8466,0.86244
drift,workload mix (frozen + churning),800,0.82758,1.20834,0.99997,0.98752,0.99974,0.99997,0.98752,0.99974,0.86269,0.85448,0.86256
drift,workload mix (frozen + churning),1600,0.87346,1.14488,0.99997,0.99365,0.99986,0.99997,0.99365,0.99986,0.86269,0.85854,0.86263
drift,workload mix (frozen + churning),3200,0.89911,1.11221,0.99997,0.99678,0.99991,0.99997,0.99678,0.99991,0.86269,0.8606,0.86266
drift,workload mix (frozen + churning),6400,0.91275,1.09559,0.99997,0.99837,0.99994,0.99997,0.99837,0.99994,0.86269,0.86164,0.86267
drift,workload mix (frozen + churning),12800,0.91981,1.08719,0.99997,0.99917,0.99995,0.99997,0.99917,0.99995,0.86269,0.86217,0.86268
drift,workload mix (frozen + churning),25600,0.92339,1.08296,0.99997,0.99957,0.99996,0.99997,0.99957,0.99996,0.86269,0.86243,0.86269
drift,workload mix (frozen + churning),100000,0.92609,1.07981,0.99997,0.99987,0.99997,0.99997,0.99987,0.99997,0.86269,0.86262,0.86269
drift,workload mix (frozen + churning),1000000,0.92693,1.07883,0.99997,0.99996,0.99997,0.99997,0.99996,0.99997,0.86269,0.86268,0.86269
jump,churning only,32,0.27904,3.58365,0.9756,0.89036,0.97375,0.98044,0.89392,0.97857,0.97579,0.89055,0.97393
jump,churning only,50,0.36436,2.74454,0.9756,0.91858,0.97441,0.98044,0.92253,0.97924,0.97579,0.91877,0.9746
jump,churning only,100,0.50879,1.96544,0.9756,0.94586,0.975,0.98044,0.95021,0.97984,0.97579,0.94605,0.97519
jump,churning only,200,0.64502,1.55033,0.9756,0.96039,0.9753,0.98044,0.96498,0.98014,0.97579,0.96058,0.97549
jump,churning only,400,0.75268,1.32858,0.9756,0.96791,0.97545,0.98044,0.97262,0.98029,0.97579,0.9681,0.97564
jump,churning only,800,0.82583,1.2109,0.9756,0.97173,0.97552,0.98044,0.9765,0.98036,0.97579,0.97192,0.97572
jump,churning only,1600,0.8701,1.14929,0.9756,0.97366,0.97556,0.98044,0.97846,0.9804,0.97579,0.97385,0.97575
jump,churning only,3200,0.89484,1.11752,0.9756,0.97463,0.97558,0.98044,0.97945,0.98042,0.97579,0.97482,0.97577
jump,churning only,6400,0.908,1.10133,0.9756,0.97511,0.97559,0.98044,0.97994,0.98043,0.97579,0.97531,0.97578
jump,churning only,12800,0.91479,1.09315,0.9756,0.97536,0.97559,0.98044,0.98019,0.98043,0.97579,0.97555,0.97579
jump,churning only,25600,0.91825,1.08903,0.9756,0.97548,0.9756,0.98044,0.98031,0.98044,0.97579,0.97567,0.97579
jump,churning only,100000,0.92084,1.08596,0.9756,0.97557,0.9756,0.98044,0.98041,0.98044,0.97579,0.97576,0.97579
jump,churning only,1000000,0.92165,1.08501,0.9756,0.9756,0.9756,0.98044,0.98043,0.98044,0.97579,0.97579,0.97579
jump,workload mix (frozen + churning),32,0.3177,3.14766,0.96889,0.82482,0.96448,0.97072,0.82186,0.96621,0.86807,0.75372,0.86459
jump,workload mix (frozen + churning),50,0.40711,2.45635,0.96889,0.86767,0.96606,0.97072,0.86517,0.96782,0.86807,0.78854,0.86583
jump,workload mix (frozen + churning),100,0.55182,1.81219,0.96889,0.91287,0.96747,0.97072,0.91148,0.96927,0.86807,0.82456,0.86695
jump,workload mix (frozen + churning),200,0.68174,1.46683,0.96889,0.93908,0.96818,0.97072,0.93885,0.96999,0.86807,0.8451,0.86751
jump,workload mix (frozen + churning),400,0.78053,1.28118,0.96889,0.95344,0.96854,0.97072,0.95408,0.97036,0.86807,0.85623,0.86779
