matrix,N,nnz,k,seed,cols,nnz_neighborhood,nnz_random,shrink
TSOPF_RS_b39_c30,60098,1079986,256,17,256,305958,3205,95.463
TSOPF_RS_b39_c30,60098,1079986,256,18,256,305958,3241,94.402
TSOPF_RS_b39_c30,60098,1079986,256,19,256,305958,3408,89.776
TSOPF_RS_b39_c30,60098,1079986,256,20,256,305958,3288,93.053
TSOPF_RS_b39_c30,60098,1079986,256,21,138,304406,1848,164.722
bcspwr10,5300,21842,256,17,256,1101,1056,1.043
bcspwr10,5300,21842,256,18,256,1153,1068,1.08
bcspwr10,5300,21842,256,19,256,1129,1035,1.091
bcspwr10,5300,21842,256,20,256,1112,1076,1.033
bcspwr10,5300,21842,256,21,256,1040,1089,0.955
scircuit,170998,958936,256,17,256,2342,1403,1.669
scircuit,170998,958936,256,18,256,1478,1543,0.958
scircuit,170998,958936,256,19,256,3140,1437,2.185
scircuit,170998,958936,256,20,256,1401,1428,0.981
scircuit,170998,958936,256,21,256,3278,1398,2.345
ct20stif,52329,2600295,256,17,256,15163,12672,1.197
ct20stif,52329,2600295,256,18,256,10286,12771,0.805
ct20stif,52329,2600295,256,19,256,12619,12575,1.003
ct20stif,52329,2600295,256,20,256,13559,12702,1.067
ct20stif,52329,2600295,256,21,256,15782,13020,1.212
memplus,17758,99147,256,17,256,16619,1541,10.785
memplus,17758,99147,256,18,256,16636,1346,12.36
memplus,17758,99147,256,19,256,14908,1354,11.01
memplus,17758,99147,256,20,256,16619,1222,13.6
memplus,17758,99147,256,21,256,16670,1240,13.444
TSOPF_RS_b162_c3,15374,610299,256,17,256,194408,14355,13.543
TSOPF_RS_b162_c3,15374,610299,256,18,256,194408,14403,13.498
TSOPF_RS_b162_c3,15374,610299,256,19,256,194408,7493,25.945
TSOPF_RS_b162_c3,15374,610299,256,20,256,194408,7222,26.919
TSOPF_RS_b162_c3,15374,610299,256,21,256,195544,7586,25.777
TSOPF_RS_b300_c1,14538,1474325,256,17,256,496944,17049,29.148
TSOPF_RS_b300_c1,14538,1474325,256,18,256,496944,24532,20.257
TSOPF_RS_b300_c1,14538,1474325,256,19,256,496944,26038,19.085
TSOPF_RS_b300_c1,14538,1474325,256,20,256,496944,31688,15.682
TSOPF_RS_b300_c1,14538,1474325,256,21,256,502010,26155,19.194
case9,14454,147972,256,17,256,25159,2222,11.323
case9,14454,147972,256,18,256,25834,2207,11.705
case9,14454,147972,256,19,256,25159,2221,11.328
case9,14454,147972,256,20,256,25834,2178,11.861
case9,14454,147972,256,21,256,25799,2149,12.005
bcspwr09,1723,6511,256,17,256,1066,986,1.081
bcspwr09,1723,6511,256,18,256,1032,968,1.066
bcspwr09,1723,6511,256,19,256,1023,962,1.063
bcspwr09,1723,6511,256,20,256,1027,983,1.045
bcspwr09,1723,6511,256,21,256,1099,987,1.113
add32,4960,19848,256,17,256,1073,1030,1.042
add32,4960,19848,256,18,256,1081,1029,1.051
add32,4960,19848,256,19,256,1040,1011,1.029
add32,4960,19848,256,20,256,1069,981,1.09
add32,4960,19848,256,21,256,1083,1002,1.081
circuit_3,12127,48137,256,17,256,6871,848,8.103
circuit_3,12127,48137,256,18,256,6877,849,8.1
circuit_3,12127,48137,256,19,256,7302,929,7.86
circuit_3,12127,48137,256,20,256,6877,898,7.658
circuit_3,12127,48137,256,21,256,7075,851,8.314
rajat03,7602,32653,256,17,256,1134,1133,1.001
rajat03,7602,32653,256,18,256,1133,1084,1.045
rajat03,7602,32653,256,19,256,1118,1107,1.01
rajat03,7602,32653,256,20,256,1134,1096,1.035
rajat03,7602,32653,256,21,256,1130,1075,1.051
bcsstk18,11948,149090,256,17,256,4051,3048,1.329
bcsstk18,11948,149090,256,18,256,4193,3236,1.296
bcsstk18,11948,149090,256,19,256,3301,3012,1.096
bcsstk18,11948,149090,256,20,256,3307,3119,1.06
bcsstk18,11948,149090,256,21,256,3842,3152,1.219
bcsstk25,15439,252241,256,17,256,4925,4207,1.171
bcsstk25,15439,252241,256,18,256,4972,4144,1.2
bcsstk25,15439,252241,256,19,256,4165,4193,0.993
bcsstk25,15439,252241,256,20,256,5142,4140,1.242
bcsstk25,15439,252241,256,21,256,4070,4303,0.946
msc10848,10848,1229776,256,17,256,32070,29448,1.089
msc10848,10848,1229776,256,18,256,35592,27990,1.272
msc10848,10848,1229776,256,19,256,34683,28200,1.23
msc10848,10848,1229776,256,20,256,34629,29316,1.181
msc10848,10848,1229776,256,21,256,32093,28230,1.137
nasa2910,2910,174296,256,17,256,17905,15948,1.123
nasa2910,2910,174296,256,18,256,16547,15721,1.053
nasa2910,2910,174296,256,19,256,18739,15729,1.191
nasa2910,2910,174296,256,20,256,16547,15531,1.065
nasa2910,2910,174296,256,21,256,16323,15215,1.073
s3rmt3m3,5357,207123,256,17,256,10696,9986,1.071
s3rmt3m3,5357,207123,256,18,256,10037,9800,1.024
s3rmt3m3,5357,207123,256,19,256,10716,9826,1.091
s3rmt3m3,5357,207123,256,20,256,9908,9843,1.007
s3rmt3m3,5357,207123,256,21,256,9999,9792,1.021
olafu,16146,1015156,256,17,256,14917,15903,0.938
olafu,16146,1015156,256,18,256,13194,15967,0.826
olafu,16146,1015156,256,19,256,14037,16324,0.86
olafu,16146,1015156,256,20,256,15733,16247,0.968
olafu,16146,1015156,256,21,256,18671,16018,1.166
raefsky3,21200,1488768,256,17,256,18432,17928,1.028
raefsky3,21200,1488768,256,18,256,18432,17952,1.027
raefsky3,21200,1488768,256,19,256,18432,17952,1.027
raefsky3,21200,1488768,256,20,256,18432,17808,1.035
raefsky3,21200,1488768,256,21,256,18432,18008,1.024
wang3,26064,177168,256,17,256,1792,1744,1.028
wang3,26064,177168,256,18,256,1764,1745,1.011
wang3,26064,177168,256,19,256,1731,1736,0.997
wang3,26064,177168,256,20,256,1773,1731,1.024
wang3,26064,177168,256,21,256,1778,1744,1.019
epb2,25228,175027,256,17,256,4139,1882,2.199
epb2,25228,175027,256,18,256,1704,2052,0.83
epb2,25228,175027,256,19,256,1704,2012,0.847
epb2,25228,175027,256,20,256,1682,1705,0.987
epb2,25228,175027,256,21,256,1878,1820,1.032
