matrix,ordering,N,nnz,mode,dirty_cols,B,hst_ms,delta_csc_ms,full_recompute_ms,slice_ms,presliced_ms,framework_subtract_ms,alloc_ms,addmm_ms,preslice_build_ms,best_torch_delta_ms,hst_vs_best_framework_delta,hst_vs_presliced,hst_vs_full,hst_vs_csc,presliced_vs_csc,alloc_share_of_presliced,hst_vs_presliced_minus_alloc,maxrelerr
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,1,0.237878,0.25347,2.036347,20.20925,0.584719,5.69191,0.0126,0.863384,3.0343,0.584719,2.474,2.474,8.614,1.072,0.433,0.022,2.42,3.31748947082187e-16
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,8,0.367398,1.575052,2.745065,20.984862,1.044117,8.436031,0.128015,0.908696,3.0343,1.044117,2.903,2.903,7.632,4.379,1.509,0.123,2.547,2.3750045791444733e-16
TSOPF_RS_b39_c30,native,60098,1079986,neighborhood,256,16,0.481592,2.768715,4.499213,21.965966,2.290813,12.360202,0.266859,1.71241,3.0343,2.290813,4.985,4.985,9.791,6.025,1.209,0.116,4.404,2.247078700460674e-16
TSOPF_RS_b39_c30,native,60098,1079986,scattered,256,1,0.011859,0.00657,2.007245,3.439258,0.148838,5.764576,0.0124,0.669941,2.13,0.148838,15.763,15.763,212.574,0.696,0.044,0.083,14.449,1.8204788810083396e-18
TSOPF_RS_b39_c30,native,60098,1079986,scattered,256,8,0.019499,0.021171,2.690774,3.984403,0.518346,8.384996,0.128391,0.4087,2.13,0.518346,34.224,34.224,177.658,1.398,0.041,0.248,25.747,2.398408997762681e-18
TSOPF_RS_b39_c30,native,60098,1079986,scattered,256,16,0.023738,0.036146,4.364111,4.630512,1.54228,12.420473,0.263389,0.985578,2.13,1.54228,68.997,68.997,195.237,1.617,0.023,0.171,57.214,3.6635296948525e-18
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,1,0.237512,0.252563,2.038198,20.874918,0.59145,5.737532,0.01239,0.868877,2.9855,0.59145,2.502,2.502,8.621,1.068,0.427,0.021,2.449,4.2455407272284894e-16
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,8,0.313737,1.575153,2.781123,21.652626,1.029488,8.505985,0.128371,0.897005,2.9855,1.029488,3.346,3.346,9.038,5.119,1.53,0.125,2.928,1.9165435325529707e-16
TSOPF_RS_b39_c30,rcm,60098,1079986,neighborhood,256,16,0.457926,2.755376,4.625673,22.48501,2.379162,12.412738,0.261044,1.769912,2.9855,2.379162,5.196,5.196,10.101,6.017,1.158,0.11,4.625,5.214644344453938e-16
TSOPF_RS_b39_c30,rcm,60098,1079986,scattered,256,1,0.012091,0.006716,2.001986,3.446832,0.148608,5.797281,0.012406,0.670406,2.1112,0.148608,15.521,15.521,209.095,0.701,0.045,0.083,14.225,1.409755456590301e-18
TSOPF_RS_b39_c30,rcm,60098,1079986,scattered,256,8,0.019031,0.021148,2.744677,4.036968,0.526334,8.531024,0.128269,0.394302,2.1112,0.526334,34.538,34.538,180.105,1.388,0.04,0.244,26.121,1.90879041451945e-18
TSOPF_RS_b39_c30,rcm,60098,1079986,scattered,256,16,0.022675,0.035316,4.565414,4.613503,1.524469,12.427008,0.258253,0.975159,2.1112,1.524469,81.867,81.867,245.173,1.897,0.023,0.169,67.999,4.6662921154690855e-18
bcspwr10,native,5300,21842,neighborhood,256,1,0.004941,0.002707,0.066717,0.261245,0.021995,0.305236,0.003038,0.066246,0.2318,0.021995,6.183,6.183,18.754,0.761,0.123,0.138,5.329,1.6723681369129486e-16
bcspwr10,native,5300,21842,neighborhood,256,8,0.008325,0.007357,0.094,0.300989,0.037017,0.547468,0.00923,0.031051,0.2318,0.037017,6.78,6.78,17.216,1.347,0.199,0.249,5.089,2.3587505479609494e-16
bcspwr10,native,5300,21842,neighborhood,256,16,0.012159,0.013585,0.166651,0.329504,0.077258,1.020495,0.015399,0.05954,0.2318,0.077258,9.409,9.409,20.296,1.654,0.176,0.199,7.533,2.3049880412430993e-16
bcspwr10,native,5300,21842,scattered,256,1,0.005383,0.002912,0.065231,0.265234,0.023243,0.302498,0.003003,0.06636,0.2644,0.023243,6.665,6.665,18.705,0.835,0.125,0.129,5.804,1.0825985337755141e-16
bcspwr10,native,5300,21842,scattered,256,8,0.007704,0.007865,0.095293,0.30646,0.041407,0.553011,0.009181,0.035174,0.2644,0.041407,7.808,7.808,17.969,1.483,0.19,0.222,6.077,2.6706487550321724e-16
bcspwr10,native,5300,21842,scattered,256,16,0.012376,0.014273,0.16999,0.337891,0.076479,1.019158,0.015365,0.06089,0.2644,0.076479,9.816,9.816,21.817,1.832,0.187,0.201,7.844,1.9468759848722368e-16
bcspwr10,rcm,5300,21842,neighborhood,256,1,0.00342,0.0022,0.083754,0.254719,0.021584,0.304571,0.003117,0.066271,0.2629,0.021584,10.312,10.312,40.013,1.051,0.102,0.144,8.822,1.210574563462242e-16
bcspwr10,rcm,5300,21842,neighborhood,256,8,0.005473,0.006803,0.09504,0.282683,0.03516,0.551117,0.009153,0.029334,0.2629,0.03516,9.226,9.226,24.94,1.785,0.193,0.26,6.824,4.041499913660049e-16
bcspwr10,rcm,5300,21842,neighborhood,256,16,0.00823,0.012381,0.153385,0.321267,0.075972,1.019684,0.015566,0.059011,0.2629,0.075972,14.333,14.333,28.939,2.336,0.163,0.205,11.397,1.7471232270327418e-16
bcspwr10,rcm,5300,21842,scattered,256,1,0.005049,0.002919,0.082863,0.266349,0.023716,0.302501,0.003045,0.066513,0.3055,0.023716,7.048,7.048,24.627,0.867,0.123,0.128,6.144,2.2942496231880583e-16
bcspwr10,rcm,5300,21842,scattered,256,8,0.009076,0.008042,0.097027,0.306137,0.042262,0.55719,0.009267,0.035666,0.3055,0.042262,7.196,7.196,16.522,1.369,0.19,0.219,5.618,2.401276662449454e-16
bcspwr10,rcm,5300,21842,scattered,256,16,0.011902,0.014533,0.159769,0.347048,0.07672,1.016202,0.015479,0.061151,0.3055,0.07672,8.601,8.601,17.912,1.629,0.189,0.202,6.866,2.3772573006996195e-16
ct20stif,native,52329,2600295,neighborhood,256,1,0.020675,0.014841,4.931171,5.992719,0.136427,5.023134,0.01114,0.598767,4.7523,0.136427,7.205,7.205,260.41,0.784,0.109,0.082,6.616,3.415688018047949e-20
ct20stif,native,52329,2600295,neighborhood,256,8,0.031852,0.065836,5.321119,6.436104,0.476618,7.399326,0.111604,0.357556,4.7523,0.476618,15.289,15.289,170.692,2.112,0.138,0.234,11.709,4.1871913917674144e-20
ct20stif,native,52329,2600295,neighborhood,256,16,0.04733,0.131844,8.21757,6.935174,1.182965,10.804055,0.223357,0.811438,4.7523,1.182965,31.903,31.903,221.616,3.556,0.111,0.189,25.879,4.499791982006026e-20
ct20stif,native,52329,2600295,scattered,256,1,0.02895,0.016589,4.934286,6.276995,0.172961,4.98039,0.011205,0.590388,5.3809,0.172961,6.643,6.643,189.506,0.637,0.096,0.065,6.212,6.861285818705631e-19
ct20stif,native,52329,2600295,scattered,256,8,0.056976,0.074701,5.348432,6.751227,0.459687,7.34708,0.111769,0.360931,5.3809,0.459687,8.761,8.761,101.939,1.424,0.163,0.243,6.631,9.23281510591896e-18
ct20stif,native,52329,2600295,scattered,256,16,0.094847,0.13868,8.224035,7.301985,1.160944,10.798097,0.22369,0.807459,5.3809,1.160944,13.715,13.715,97.156,1.638,0.119,0.193,11.072,1.6211994701970582e-17
ct20stif,rcm,52329,2600295,neighborhood,256,1,0.018679,0.014534,4.971505,6.012827,0.135279,4.999713,0.011214,0.599117,4.8167,0.135279,7.973,7.973,293.02,0.857,0.107,0.083,7.312,7.889544603539914e-20
ct20stif,rcm,52329,2600295,neighborhood,256,8,0.02764,0.064304,5.504746,6.450102,0.486962,7.42012,0.112337,0.36423,4.8167,0.486962,18.201,18.201,205.748,2.403,0.132,0.231,14.002,3.4434870485194555e-20
ct20stif,rcm,52329,2600295,neighborhood,256,16,0.035512,0.128385,8.497674,7.005523,1.152504,10.813425,0.221599,0.786414,4.8167,1.152504,32.454,32.454,239.293,3.615,0.111,0.192,26.214,4.4436752329534757e-20
ct20stif,rcm,52329,2600295,scattered,256,1,0.028771,0.016351,4.929309,6.263439,0.176349,4.994995,0.011144,0.589329,5.4139,0.176349,6.812,6.812,190.42,0.632,0.093,0.063,6.382,5.741960154487127e-17
ct20stif,rcm,52329,2600295,scattered,256,8,0.055465,0.073884,5.492829,6.772202,0.460551,7.417871,0.111587,0.371892,5.4139,0.460551,9.024,9.024,107.623,1.448,0.16,0.242,6.837,2.3717916565241935e-17
ct20stif,rcm,52329,2600295,scattered,256,16,0.100219,0.14674,8.469404,7.347905,1.176668,10.816992,0.226049,0.810296,5.4139,1.176668,12.934,12.934,93.097,1.613,0.125,0.192,10.449,1.9174701567951944e-16
memplus,native,17758,99147,neighborhood,256,1,0.023783,0.018443,0.252872,1.288648,0.074578,1.549989,0.00512,0.208104,0.4632,0.074578,3.364,3.364,11.407,0.832,0.247,0.069,3.133,6.066962659206854e-16
